County,Date,New Cases,New Positive Tests,Total Test Encounters
Hawaii,2/15/2020,0,0,0
Hawaii,2/28/2020,0,0,0
Hawaii,3/2/2020,0,0,0
Hawaii,3/3/2020,0,0,1
Hawaii,3/6/2020,0,0,0
Hawaii,3/7/2020,0,0,0
Hawaii,3/8/2020,0,0,0
Hawaii,3/9/2020,0,0,0
Hawaii,3/10/2020,0,0,0
Hawaii,3/11/2020,0,0,0
Hawaii,3/12/2020,0,0,3
Hawaii,3/13/2020,0,0,3
Hawaii,3/14/2020,0,0,6
Hawaii,3/15/2020,0,0,19
Hawaii,3/16/2020,0,0,29
Hawaii,3/17/2020,1,1,31
Hawaii,3/18/2020,0,0,22
Hawaii,3/19/2020,0,0,59
Hawaii,3/20/2020,2,2,84
Hawaii,3/21/2020,0,0,73
Hawaii,3/22/2020,1,2,136
Hawaii,3/23/2020,1,0,95
Hawaii,3/24/2020,0,0,22
Hawaii,3/25/2020,1,0,27
Hawaii,3/26/2020,2,2,123
Hawaii,3/27/2020,5,5,290
Hawaii,3/28/2020,4,5,239
Hawaii,3/29/2020,1,1,53
Hawaii,3/30/2020,0,0,31
Hawaii,3/31/2020,3,2,236
Hawaii,4/1/2020,0,0,138
Hawaii,4/2/2020,2,2,103
Hawaii,4/3/2020,2,2,159
Hawaii,4/4/2020,0,0,41
Hawaii,4/5/2020,1,0,138
Hawaii,4/6/2020,1,1,58
Hawaii,4/7/2020,3,3,51
Hawaii,4/8/2020,0,0,25
Hawaii,4/9/2020,1,1,151
Hawaii,4/10/2020,3,3,192
Hawaii,4/11/2020,5,3,114
Hawaii,4/12/2020,1,2,67
Hawaii,4/13/2020,1,2,17
Hawaii,4/14/2020,0,0,33
Hawaii,4/15/2020,0,0,32
Hawaii,4/16/2020,3,3,68
Hawaii,4/17/2020,16,16,300
Hawaii,4/18/2020,2,2,91
Hawaii,4/19/2020,2,2,90
Hawaii,4/20/2020,0,0,47
Hawaii,4/21/2020,3,4,126
Hawaii,4/22/2020,1,0,71
Hawaii,4/23/2020,1,2,209
Hawaii,4/24/2020,0,1,145
Hawaii,4/25/2020,1,1,69
Hawaii,4/26/2020,0,0,16
Hawaii,4/27/2020,0,0,24
Hawaii,4/28/2020,0,0,182
Hawaii,4/29/2020,3,3,74
Hawaii,4/30/2020,0,0,238
Hawaii,5/1/2020,0,0,128
Hawaii,5/2/2020,1,1,123
Hawaii,5/3/2020,1,1,95
Hawaii,5/4/2020,0,0,81
Hawaii,5/5/2020,0,0,102
Hawaii,5/6/2020,0,0,58
Hawaii,5/7/2020,0,0,197
Hawaii,5/8/2020,0,0,102
Hawaii,5/9/2020,0,0,178
Hawaii,5/10/2020,0,0,13
Hawaii,5/11/2020,0,0,78
Hawaii,5/12/2020,0,0,98
Hawaii,5/13/2020,0,1,158
Hawaii,5/14/2020,0,0,174
Hawaii,5/15/2020,1,0,163
Hawaii,5/16/2020,1,2,151
Hawaii,5/17/2020,0,0,50
Hawaii,5/18/2020,1,1,106
Hawaii,5/19/2020,0,0,199
Hawaii,5/20/2020,3,3,160
Hawaii,5/21/2020,0,0,178
Hawaii,5/22/2020,0,0,192
Hawaii,5/23/2020,0,0,185
Hawaii,5/24/2020,0,0,40
Hawaii,5/25/2020,0,0,76
Hawaii,5/26/2020,0,0,42
Hawaii,5/27/2020,0,0,111
Hawaii,5/28/2020,0,0,144
Hawaii,5/29/2020,0,0,134
Hawaii,5/30/2020,0,0,143
Hawaii,5/31/2020,0,0,30
Hawaii,6/1/2020,0,0,127
Hawaii,6/2/2020,0,0,588
Hawaii,6/3/2020,0,0,896
Hawaii,6/4/2020,0,0,379
Hawaii,6/5/2020,0,0,273
Hawaii,6/6/2020,0,0,213
Hawaii,6/7/2020,0,0,58
Hawaii,6/8/2020,0,0,27
Hawaii,6/9/2020,0,0,260
Hawaii,6/10/2020,0,0,130
Hawaii,6/11/2020,0,0,192
Hawaii,6/12/2020,0,0,134
Hawaii,6/13/2020,1,1,240
Hawaii,6/14/2020,0,0,46
Hawaii,6/15/2020,0,0,75
Hawaii,6/16/2020,1,1,409
Hawaii,6/17/2020,0,0,194
Hawaii,6/18/2020,0,0,107
Hawaii,6/19/2020,0,0,263
Hawaii,6/20/2020,2,2,131
Hawaii,6/21/2020,0,0,78
Hawaii,6/22/2020,0,0,62
Hawaii,6/23/2020,1,1,261
Hawaii,6/24/2020,0,1,102
Hawaii,6/25/2020,0,0,150
Hawaii,6/26/2020,0,0,149
Hawaii,6/27/2020,1,3,193
Hawaii,6/28/2020,0,0,69
Hawaii,6/29/2020,0,1,59
Hawaii,6/30/2020,0,0,253
Hawaii,7/1/2020,3,3,187
Hawaii,7/2/2020,1,1,196
Hawaii,7/3/2020,2,2,262
Hawaii,7/4/2020,0,0,94
Hawaii,7/5/2020,1,1,47
Hawaii,7/6/2020,1,1,70
Hawaii,7/7/2020,1,1,314
Hawaii,7/8/2020,1,1,196
Hawaii,7/9/2020,1,1,265
Hawaii,7/10/2020,2,2,259
Hawaii,7/11/2020,1,1,192
Hawaii,7/12/2020,1,0,93
Hawaii,7/13/2020,3,3,61
Hawaii,7/14/2020,2,2,409
Hawaii,7/15/2020,0,1,297
Hawaii,7/16/2020,2,2,367
Hawaii,7/17/2020,1,1,694
Hawaii,7/18/2020,2,1,382
Hawaii,7/19/2020,1,0,140
Hawaii,7/20/2020,0,1,139
Hawaii,7/21/2020,0,1,696
Hawaii,7/22/2020,2,1,254
Hawaii,7/23/2020,0,0,277
Hawaii,7/24/2020,0,0,257
Hawaii,7/25/2020,0,0,748
Hawaii,7/26/2020,0,0,73
Hawaii,7/27/2020,0,0,73
Hawaii,7/28/2020,0,0,343
Hawaii,7/29/2020,0,0,188
Hawaii,7/30/2020,0,0,154
Hawaii,7/31/2020,0,0,159
Hawaii,8/1/2020,0,1,280
Hawaii,8/2/2020,2,0,112
Hawaii,8/3/2020,4,8,169
Hawaii,8/4/2020,0,0,292
Hawaii,8/5/2020,1,2,296
Hawaii,8/6/2020,0,0,332
Hawaii,8/7/2020,4,4,328
Hawaii,8/8/2020,3,3,394
Hawaii,8/9/2020,0,0,147
Hawaii,8/10/2020,1,1,142
Hawaii,8/11/2020,2,2,389
Hawaii,8/12/2020,4,3,410
Hawaii,8/13/2020,4,4,555
Hawaii,8/14/2020,3,4,388
Hawaii,8/15/2020,4,6,366
Hawaii,8/16/2020,2,2,143
Hawaii,8/17/2020,3,4,123
Hawaii,8/18/2020,7,10,364
Hawaii,8/19/2020,5,8,200
Hawaii,8/20/2020,14,14,361
Hawaii,8/21/2020,15,13,403
Hawaii,8/22/2020,8,8,389
Hawaii,8/23/2020,9,7,460
Hawaii,8/24/2020,11,12,535
Hawaii,8/25/2020,23,23,582
Hawaii,8/26/2020,10,11,253
Hawaii,8/27/2020,26,24,683
Hawaii,8/28/2020,39,43,850
Hawaii,8/29/2020,21,22,522
Hawaii,8/30/2020,25,23,309
Hawaii,8/31/2020,18,19,984
Hawaii,9/1/2020,34,34,716
Hawaii,9/2/2020,17,16,749
Hawaii,9/3/2020,34,36,801
Hawaii,9/4/2020,23,21,522
Hawaii,9/5/2020,13,14,804
Hawaii,9/6/2020,11,13,277
Hawaii,9/7/2020,6,5,250
Hawaii,9/8/2020,13,14,631
Hawaii,9/9/2020,7,10,945
Hawaii,9/10/2020,21,20,745
Hawaii,9/11/2020,8,12,526
Hawaii,9/12/2020,19,13,700
Hawaii,9/13/2020,7,7,466
Hawaii,9/14/2020,5,9,522
Hawaii,9/15/2020,4,11,925
Hawaii,9/16/2020,19,10,688
Hawaii,9/17/2020,10,11,735
Hawaii,9/18/2020,7,6,648
Hawaii,9/19/2020,5,7,697
Hawaii,9/20/2020,7,7,372
Hawaii,9/21/2020,8,5,598
Hawaii,9/22/2020,12,14,1050
Hawaii,9/23/2020,6,6,512
Hawaii,9/24/2020,14,15,612
Hawaii,9/25/2020,3,2,519
Hawaii,9/26/2020,7,7,726
Hawaii,9/27/2020,0,1,301
Hawaii,9/28/2020,3,3,272
Hawaii,9/29/2020,25,26,961
Hawaii,9/30/2020,6,7,392
Hawaii,10/1/2020,16,18,751
