,Date,Metric,Values
11,2020-08-27,Cases,5248.986111248599
12,2020-08-28,Cases,5570.936338756856
13,2020-08-29,Cases,5889.614009803983
14,2020-08-30,Cases,6211.254465357209
15,2020-08-31,Cases,6539.365250418589
16,2020-09-01,Cases,6875.852884037219
17,2020-09-02,Cases,7221.666323006971
18,2020-09-03,Cases,7577.163414755341
19,2020-09-04,Cases,7942.318617735715
20,2020-09-05,Cases,8316.839861143726
21,2020-09-06,Cases,8700.233543034374
22,2020-09-07,Cases,9069.83732174749
23,2020-09-08,Cases,9420.504511327037
24,2020-09-09,Cases,9760.137525262588
25,2020-09-10,Cases,10092.924866659343
26,2020-09-11,Cases,10420.865754418304
27,2020-09-12,Cases,10744.660422868546
28,2020-09-13,Cases,11064.231732905073
29,2020-09-14,Cases,11379.0325151684
30,2020-09-15,Cases,11661.688156948669
31,2020-09-16,Cases,11906.68637029106
32,2020-09-17,Cases,12124.622259757609
33,2020-09-18,Cases,12321.484606671298
34,2020-09-19,Cases,12500.548745776385
35,2020-09-20,Cases,12663.499751591722
36,2020-09-21,Cases,12811.100445249927
37,2020-09-22,Cases,12971.205330421277
38,2020-09-23,Cases,13147.968896723065
39,2020-09-24,Cases,13328.393115619756
40,2020-09-25,Cases,13504.396982731318
41,2020-09-26,Cases,13670.842025942227
42,2020-09-27,Cases,13824.36852729393
43,2020-09-28,Cases,13962.70984900768
44,2020-09-29,Cases,14111.893494128377
45,2020-09-30,Cases,14274.87098578093
46,2020-10-01,Cases,14437.779308389305
11,2020-08-27,Cases,5208.103768102729
12,2020-08-28,Cases,5490.588919449685
13,2020-08-29,Cases,5761.235992820788
14,2020-08-30,Cases,6027.8159247975655
15,2020-08-31,Cases,6294.726050928437
16,2020-09-01,Cases,6564.388240332187
17,2020-09-02,Cases,6838.057229027504
18,2020-09-03,Cases,7116.287824942692
19,2020-09-04,Cases,7399.204809010822
20,2020-09-05,Cases,7686.658754638565
21,2020-09-06,Cases,7978.315951808958
22,2020-09-07,Cases,8253.432147155352
23,2020-09-08,Cases,8507.604069713047
24,2020-09-09,Cases,8748.568232623682
25,2020-09-10,Cases,8980.624177666014
26,2020-09-11,Cases,9206.042788557972
27,2020-09-12,Cases,9425.895184400531
28,2020-09-13,Cases,9640.541584337114
29,2020-09-14,Cases,9849.920551831427
30,2020-09-15,Cases,10030.334291196628
31,2020-09-16,Cases,10177.438629137707
32,2020-09-17,Cases,10301.166747449464
33,2020-09-18,Cases,10407.344906050876
34,2020-09-19,Cases,10499.357388272896
35,2020-09-20,Cases,10579.14075285757
36,2020-09-21,Cases,10647.778238328174
37,2020-09-22,Cases,10682.12541568041
38,2020-09-23,Cases,10678.977563909819
39,2020-09-24,Cases,10649.771431422932
40,2020-09-25,Cases,10601.550907291154
41,2020-09-26,Cases,10538.703483073234
42,2020-09-27,Cases,10464.011675352209
43,2020-09-28,Cases,10379.2898513396
44,2020-09-29,Cases,10307.594248277821
45,2020-09-30,Cases,10252.77139014583
46,2020-10-01,Cases,10204.822940933385
11,2020-08-27,Hospitalized,291.0
12,2020-08-28,Hospitalized,306.8616595668626
13,2020-08-29,Hospitalized,307.43253070208067
14,2020-08-30,Hospitalized,323.7618666184527
15,2020-08-31,Hospitalized,340.58853568299514
16,2020-09-01,Hospitalized,357.83816750262713
17,2020-09-02,Hospitalized,375.4609244887693
18,2020-09-03,Hospitalized,393.4296199788139
19,2020-09-04,Hospitalized,411.73498375364113
20,2020-09-05,Hospitalized,430.3804053764792
21,2020-09-06,Hospitalized,449.3771588040836
22,2020-09-07,Hospitalized,468.7346828517665
23,2020-09-08,Hospitalized,488.4265255674525
24,2020-09-09,Hospitalized,508.42563688869245
25,2020-09-10,Hospitalized,528.6933336481284
26,2020-09-11,Hospitalized,549.1659912372071
27,2020-09-12,Hospitalized,569.7773565247817
28,2020-09-13,Hospitalized,590.4683178550548
29,2020-09-14,Hospitalized,611.1890228469252
30,2020-09-15,Hospitalized,631.8906959329283
31,2020-09-16,Hospitalized,652.4861376660405
32,2020-09-17,Hospitalized,672.8939604295463
33,2020-09-18,Hospitalized,693.0254370208987
34,2020-09-19,Hospitalized,712.7687326313609
35,2020-09-20,Hospitalized,732.0165293437701
36,2020-09-21,Hospitalized,750.6778785819604
37,2020-09-22,Hospitalized,768.6876884921069
38,2020-09-23,Hospitalized,786.0433111623734
39,2020-09-24,Hospitalized,802.7517631899096
40,2020-09-25,Hospitalized,818.8378214700674
41,2020-09-26,Hospitalized,834.3556705503322
42,2020-09-27,Hospitalized,849.356251593568
43,2020-09-28,Hospitalized,863.8726622791244
44,2020-09-29,Hospitalized,877.9239810843364
45,2020-09-30,Hospitalized,891.5554640542169
46,2020-10-01,Hospitalized,904.7924969257685
11,2020-08-27,Hospitalized,291.0
12,2020-08-28,Hospitalized,306.74665626299486
13,2020-08-29,Hospitalized,307.18442733527854
14,2020-08-30,Hospitalized,323.2190653835612
15,2020-08-31,Hospitalized,339.58008091576266
16,2020-09-01,Hospitalized,356.1552690900528
17,2020-09-02,Hospitalized,372.8645582603899
18,2020-09-03,Hospitalized,389.65783614276324
19,2020-09-04,Hospitalized,406.5091593808045
20,2020-09-05,Hospitalized,423.41028512840523
21,2020-09-06,Hospitalized,440.364803797911
22,2020-09-07,Hospitalized,457.3779991814181
23,2020-09-08,Hospitalized,474.4246302552282
24,2020-09-09,Hospitalized,491.4811483495514
25,2020-09-10,Hospitalized,508.515190425647
26,2020-09-11,Hospitalized,525.4731795921501
27,2020-09-12,Hospitalized,542.3009651923425
28,2020-09-13,Hospitalized,558.9528152123819
29,2020-09-14,Hospitalized,575.3932908312634
30,2020-09-15,Hospitalized,591.5898869652841
31,2020-09-16,Hospitalized,607.4780361971646
32,2020-09-17,Hospitalized,623.0000760431534
33,2020-09-18,Hospitalized,638.0935488634175
34,2020-09-19,Hospitalized,652.6771535619469
35,2020-09-20,Hospitalized,666.6750538261496
36,2020-09-21,Hospitalized,680.0271752411618
37,2020-09-22,Hospitalized,692.6847159432402
38,2020-09-23,Hospitalized,704.5750790168586
39,2020-09-24,Hospitalized,715.6414258732602
40,2020-09-25,Hospitalized,725.8297515563963
41,2020-09-26,Hospitalized,735.0735706327507
42,2020-09-27,Hospitalized,743.3179803043652
43,2020-09-28,Hospitalized,750.5291825688655
44,2020-09-29,Hospitalized,756.7008987987551
45,2020-09-30,Hospitalized,761.881676793663
46,2020-10-01,Hospitalized,766.1309140367748
11,2020-08-27,ICU,54.0
12,2020-08-28,ICU,55.41013944324318
13,2020-08-29,ICU,55.53959956481141
14,2020-08-30,ICU,57.07529923533309
15,2020-08-31,ICU,58.735488654210876
16,2020-09-01,ICU,60.51578545665365
17,2020-09-02,ICU,62.411213474466734
18,2020-09-03,ICU,64.41665020221257
19,2020-09-04,ICU,66.52717282626139
20,2020-09-05,ICU,68.73828771184256
21,2020-09-06,ICU,71.04605549219221
22,2020-09-07,ICU,73.44711159661597
23,2020-09-08,ICU,75.93829320673379
24,2020-09-09,ICU,78.51622903965838
25,2020-09-10,ICU,81.17740283260805
26,2020-09-11,ICU,83.91776301675952
27,2020-09-12,ICU,86.73256250705703
28,2020-09-13,ICU,89.61647772757763
29,2020-09-14,ICU,92.56380430366555
30,2020-09-15,ICU,95.56861107757454
31,2020-09-16,ICU,98.62444548647184
32,2020-09-17,ICU,101.72400474630089
33,2020-09-18,ICU,104.8593799744175
34,2020-09-19,ICU,108.02173589817288
35,2020-09-20,ICU,111.20126483861924
36,2020-09-21,ICU,114.38746969443841
37,2020-09-22,ICU,117.56955053540906
38,2020-09-23,ICU,120.73716968644467
39,2020-09-24,ICU,123.88111297848505
40,2020-09-25,ICU,126.99322009138157
41,2020-09-26,ICU,130.06680329098418
42,2020-09-27,ICU,133.0966997013266
43,2020-09-28,ICU,136.07893104834204
44,2020-09-29,ICU,139.01028823975645
45,2020-09-30,ICU,141.88836627318295
46,2020-10-01,ICU,144.71165561147
11,2020-08-27,ICU,54.0
12,2020-08-28,ICU,55.40874356800983
13,2020-08-29,ICU,55.53542518931662
14,2020-08-30,ICU,57.06464622492804
15,2020-08-31,ICU,58.712804479813066
16,2020-09-01,ICU,60.47293344570644
17,2020-09-02,ICU,62.33716399452443
18,2020-09-03,ICU,64.29732446838806
19,2020-09-04,ICU,66.34541255740503
20,2020-09-05,ICU,68.47391959189461
21,2020-09-06,ICU,70.67602241329679
22,2020-09-07,ICU,72.94564995427373
23,2020-09-08,ICU,75.277165983565
24,2020-09-09,ICU,77.66500588825319
25,2020-09-10,ICU,80.10374419108464
26,2020-09-11,ICU,82.58773820501072
27,2020-09-12,ICU,85.11098371821946
28,2020-09-13,ICU,87.6672282781633
29,2020-09-14,ICU,90.25015399144054
30,2020-09-15,ICU,92.8535212221181
31,2020-09-16,ICU,95.47091331072636
32,2020-09-17,ICU,98.0954487908928
33,2020-09-18,ICU,100.7199981366816
34,2020-09-19,ICU,103.33689994113357
35,2020-09-20,ICU,105.93791788930952
36,2020-09-21,ICU,108.51448644534602
37,2020-09-22,ICU,111.0579981776243
38,2020-09-23,ICU,113.55969710385519
39,2020-09-24,ICU,116.01052654375337
40,2020-09-25,ICU,118.40146881157285
41,2020-09-26,ICU,120.72334487770546
42,2020-09-27,ICU,122.96683837199244
43,2020-09-28,ICU,125.1227936110436
44,2020-09-29,ICU,127.1825793010037
45,2020-09-30,ICU,129.13872330448547
46,2020-10-01,ICU,130.98543102268786
11,2020-08-27,Fatal,51.0
12,2020-08-28,Fatal,51.46756094436782
13,2020-08-29,Fatal,51.526566290469184
14,2020-08-30,Fatal,52.05823758732473
15,2020-08-31,Fatal,52.653839771431706
16,2020-09-01,Fatal,53.31826757450206
17,2020-09-02,Fatal,54.05622695209371
18,2020-09-03,Fatal,54.872220541800985
19,2020-09-04,Fatal,55.77054911812652
20,2020-09-05,Fatal,56.75532454744935
21,2020-09-06,Fatal,57.830489771639705
22,2020-09-07,Fatal,58.9998418919058
23,2020-09-08,Fatal,60.26704973994066
24,2020-09-09,Fatal,61.63565126205418
25,2020-09-10,Fatal,63.10904735942415
26,2020-09-11,Fatal,64.69048882507273
27,2020-09-12,Fatal,66.38305038281433
28,2020-09-13,Fatal,68.18960473646015
29,2020-09-14,Fatal,70.11280337230468
30,2020-09-15,Fatal,72.15506485764686
31,2020-09-16,Fatal,74.31856229724553
32,2020-09-17,Fatal,76.60519287446488
33,2020-09-18,Fatal,79.01654986031937
34,2020-09-19,Fatal,81.5538926588159
35,2020-09-20,Fatal,84.21810721444336
36,2020-09-21,Fatal,87.00967220268461
37,2020-09-22,Fatal,89.92863884995529
38,2020-09-23,Fatal,92.9746320192171
39,2020-09-24,Fatal,96.14688556594439
40,2020-09-25,Fatal,99.4442850874629
41,2020-09-26,Fatal,102.86541802643751
42,2020-09-27,Fatal,106.408635527819
43,2020-09-28,Fatal,110.07210733781062
44,2020-09-29,Fatal,113.85386058899395
45,2020-09-30,Fatal,117.75180871102194
46,2020-10-01,Fatal,121.7637884789968
11,2020-08-27,Fatal,51.0
12,2020-08-28,Fatal,51.46752803907037
13,2020-08-29,Fatal,51.5264286704119
14,2020-08-30,Fatal,52.057807017212305
15,2020-08-31,Fatal,52.652753982571234
16,2020-09-01,Fatal,53.31589181480957
17,2020-09-02,Fatal,54.05154390528946
18,2020-09-03,Fatal,54.863711015080824
19,2020-09-04,Fatal,55.75606910190317
20,2020-09-05,Fatal,56.731983058485106
21,2020-09-06,Fatal,57.7945306949614
22,2020-09-07,Fatal,58.94653203775088
23,2020-09-08,Fatal,60.190575003865995
24,2020-09-09,Fatal,61.52902326693268
25,2020-09-10,Fatal,62.96402133035743
26,2020-09-11,Fatal,64.49749347629563
27,2020-09-12,Fatal,66.1311309477085
28,2020-09-13,Fatal,67.8663792843646
29,2020-09-14,Fatal,69.70443200682007
30,2020-09-15,Fatal,71.6462312810639
31,2020-09-16,Fatal,73.69246808671534
32,2020-09-17,Fatal,75.84356671784744
33,2020-09-18,Fatal,78.09967152968595
34,2020-09-19,Fatal,80.46063196302444
35,2020-09-20,Fatal,82.92597898407429
36,2020-09-21,Fatal,85.49490650429532
37,2020-09-22,Fatal,88.1662642526626
38,2020-09-23,Fatal,90.93855616716564
39,2020-09-24,Fatal,93.80992875741421
40,2020-09-25,Fatal,96.77816698586065
41,2020-09-26,Fatal,99.84069254637423
42,2020-09-27,Fatal,102.99455650040925
43,2020-09-28,Fatal,106.23643930846382
44,2020-09-29,Fatal,109.56266434740674
45,2020-09-30,Fatal,112.9692300277524
46,2020-10-01,Fatal,116.45186952124638
11,2020-08-27,Scenario,Worst - 14 Day Shutdown
12,2020-08-28,Scenario,Worst - 14 Day Shutdown
13,2020-08-29,Scenario,Worst - 14 Day Shutdown
14,2020-08-30,Scenario,Worst - 14 Day Shutdown
15,2020-08-31,Scenario,Worst - 14 Day Shutdown
16,2020-09-01,Scenario,Worst - 14 Day Shutdown
17,2020-09-02,Scenario,Worst - 14 Day Shutdown
18,2020-09-03,Scenario,Worst - 14 Day Shutdown
19,2020-09-04,Scenario,Worst - 14 Day Shutdown
20,2020-09-05,Scenario,Worst - 14 Day Shutdown
21,2020-09-06,Scenario,Worst - 14 Day Shutdown
22,2020-09-07,Scenario,Worst - 14 Day Shutdown
23,2020-09-08,Scenario,Worst - 14 Day Shutdown
24,2020-09-09,Scenario,Worst - 14 Day Shutdown
25,2020-09-10,Scenario,Worst - 14 Day Shutdown
26,2020-09-11,Scenario,Worst - 14 Day Shutdown
27,2020-09-12,Scenario,Worst - 14 Day Shutdown
28,2020-09-13,Scenario,Worst - 14 Day Shutdown
29,2020-09-14,Scenario,Worst - 14 Day Shutdown
30,2020-09-15,Scenario,Worst - 14 Day Shutdown
31,2020-09-16,Scenario,Worst - 14 Day Shutdown
32,2020-09-17,Scenario,Worst - 14 Day Shutdown
33,2020-09-18,Scenario,Worst - 14 Day Shutdown
34,2020-09-19,Scenario,Worst - 14 Day Shutdown
35,2020-09-20,Scenario,Worst - 14 Day Shutdown
36,2020-09-21,Scenario,Worst - 14 Day Shutdown
37,2020-09-22,Scenario,Worst - 14 Day Shutdown
38,2020-09-23,Scenario,Worst - 14 Day Shutdown
39,2020-09-24,Scenario,Worst - 14 Day Shutdown
40,2020-09-25,Scenario,Worst - 14 Day Shutdown
41,2020-09-26,Scenario,Worst - 14 Day Shutdown
42,2020-09-27,Scenario,Worst - 14 Day Shutdown
43,2020-09-28,Scenario,Worst - 14 Day Shutdown
44,2020-09-29,Scenario,Worst - 14 Day Shutdown
45,2020-09-30,Scenario,Worst - 14 Day Shutdown
46,2020-10-01,Scenario,Worst - 14 Day Shutdown
11,2020-08-27,Scenario,Expected - 14 Day Shutdown
12,2020-08-28,Scenario,Expected - 14 Day Shutdown
13,2020-08-29,Scenario,Expected - 14 Day Shutdown
14,2020-08-30,Scenario,Expected - 14 Day Shutdown
15,2020-08-31,Scenario,Expected - 14 Day Shutdown
16,2020-09-01,Scenario,Expected - 14 Day Shutdown
17,2020-09-02,Scenario,Expected - 14 Day Shutdown
18,2020-09-03,Scenario,Expected - 14 Day Shutdown
19,2020-09-04,Scenario,Expected - 14 Day Shutdown
20,2020-09-05,Scenario,Expected - 14 Day Shutdown
21,2020-09-06,Scenario,Expected - 14 Day Shutdown
22,2020-09-07,Scenario,Expected - 14 Day Shutdown
23,2020-09-08,Scenario,Expected - 14 Day Shutdown
24,2020-09-09,Scenario,Expected - 14 Day Shutdown
25,2020-09-10,Scenario,Expected - 14 Day Shutdown
26,2020-09-11,Scenario,Expected - 14 Day Shutdown
27,2020-09-12,Scenario,Expected - 14 Day Shutdown
28,2020-09-13,Scenario,Expected - 14 Day Shutdown
29,2020-09-14,Scenario,Expected - 14 Day Shutdown
30,2020-09-15,Scenario,Expected - 14 Day Shutdown
31,2020-09-16,Scenario,Expected - 14 Day Shutdown
32,2020-09-17,Scenario,Expected - 14 Day Shutdown
33,2020-09-18,Scenario,Expected - 14 Day Shutdown
34,2020-09-19,Scenario,Expected - 14 Day Shutdown
35,2020-09-20,Scenario,Expected - 14 Day Shutdown
36,2020-09-21,Scenario,Expected - 14 Day Shutdown
37,2020-09-22,Scenario,Expected - 14 Day Shutdown
38,2020-09-23,Scenario,Expected - 14 Day Shutdown
39,2020-09-24,Scenario,Expected - 14 Day Shutdown
40,2020-09-25,Scenario,Expected - 14 Day Shutdown
41,2020-09-26,Scenario,Expected - 14 Day Shutdown
42,2020-09-27,Scenario,Expected - 14 Day Shutdown
43,2020-09-28,Scenario,Expected - 14 Day Shutdown
44,2020-09-29,Scenario,Expected - 14 Day Shutdown
45,2020-09-30,Scenario,Expected - 14 Day Shutdown
46,2020-10-01,Scenario,Expected - 14 Day Shutdown
