,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-09-18,94.37471786128413,1739.3747178612841,183.24285657307567,51.28669266620149,99.73547043394099,Pessimistic
1,2020-09-19,93.81081782650494,1612.185535687789,180.94894628240888,50.98546228911695,101.37190625016132,Pessimistic
2,2020-09-20,92.8333255346588,1541.0188612224479,178.6142988012379,50.65467073035186,102.99822470390046,Pessimistic
3,2020-09-21,91.6106656664806,1527.6295268889285,176.24576508872644,50.29619385643914,104.61350986800714,Pessimistic
4,2020-09-22,90.2467187701518,1551.8762456590803,173.8501227447772,49.91190121275463,106.21690574573,Pessimistic
5,2020-09-23,88.80551420422807,1540.6817598633083,171.4337863265099,49.50365066525853,107.80761600155434,Pessimistic
6,2020-09-24,87.32647462173054,1459.0082344850389,169.00267048017218,49.07327839148681,109.38490343420932,Pessimistic
7,2020-09-25,85.83382794148156,1377.8420624265204,166.56214133037963,48.622587613678746,110.94808910274006,Pessimistic
8,2020-09-26,84.34241868456593,1331.1844811110864,164.11701721053262,48.153337874468384,112.4965510974091,Pessimistic
9,2020-09-27,82.86129636279748,1300.0457774738838,161.6715954972337,47.6672357220793,114.0297229885209,Pessimistic
10,2020-09-28,81.39593138996133,1301.4417088638452,159.22969186495533,47.16592713709786,115.54709200463446,Pessimistic
11,2020-09-29,79.94958355898098,1315.3912924228262,156.79468406986385,46.650991737290305,117.0481969970407,Pessimistic
12,2020-09-30,78.52414724256323,1291.9154396653894,154.36955585994664,46.12393864331476,118.53262624580493,Pessimistic
13,2020-10-01,77.12067346090589,1209.0361131262953,151.95693868857217,45.58620381745718,120.00001515762946,Pessimistic
0,2020-09-18,94.37471786128413,1739.3747178612841,182.055937627271,51.23818569455503,99.73328568940435,Expected
1,2020-09-19,91.87688092023882,1610.251598781523,179.2406880877473,50.905256856364296,101.36769041094256,Expected
2,2020-09-20,88.38198972634541,1534.6335885078684,176.2922908158487,50.531473175943255,102.99078622318451,Expected
3,2020-09-21,85.28436932422278,1514.9179578320911,173.22678261533,50.11757435718155,104.60127667148173,Expected
4,2020-09-22,82.46193592185796,1531.379893753949,170.06161125420914,49.66465400928939,106.19789462990295,Expected
5,2020-09-23,79.83763423777509,1511.2175279917242,166.8144757005212,49.17414566018442,107.77941348019999,Expected
6,2020-09-24,77.36257169226474,1419.580099683989,163.50256452166795,48.64778628075178,109.34465744937118,Expected
7,2020-09-25,75.00547696824242,1327.5855766522313,160.1420833180234,48.08756802158296,110.89251056793167,Expected
8,2020-09-26,72.7461110133404,1269.3316876655717,156.7479873118337,47.49568543242791,112.42192399585468,Expected
9,2020-09-27,70.57114825038616,1225.902835915958,153.333856075332,46.87448290921215,113.93192165324619,Expected
10,2020-09-28,68.47160169780955,1214.3744376137674,149.9118639652701,46.22640529759843,115.42160421394577,Expected
11,2020-09-29,66.44121309661477,1214.8156507103822,146.49281265282065,45.55395330669167,116.89015159232507,Expected
12,2020-09-30,64.47544623272552,1177.2910969431077,143.08620184245072,44.859644513721044,118.33682409159046,Expected
13,2020-10-01,62.5708573140505,1079.8619542571582,139.700321491503,44.14598016185123,119.76096239696288,Expected
0,2020-08-19,237.28571428571428,,205,39,42,Historical
1,2020-08-20,220.28571428571428,,187,33,45,Historical
2,2020-08-21,219.85714285714286,,165,29,45,Historical
3,2020-08-22,219.85714285714286,,227,44,46,Historical
4,2020-08-23,223.85714285714286,,192,35,47,Historical
5,2020-08-24,223.14285714285714,,192,35,47,Historical
6,2020-08-25,234.71428571428572,,250,35,49,Historical
7,2020-08-26,237.0,,270,50,49,Historical
8,2020-08-27,247.0,,291,54,51,Historical
9,2020-08-28,252.0,,286,56,55,Historical
10,2020-08-29,255.71428571428572,,279,55,59,Historical
11,2020-08-30,248.85714285714286,,272,57,62,Historical
12,2020-08-31,243.71428571428572,,272,57,63,Historical
13,2020-09-01,238.85714285714286,3320.0,297,57,70,Historical
14,2020-09-02,247.71428571428572,3271.0,288,48,74,Historical
15,2020-09-03,234.14285714285714,3303.0,276,47,75,Historical
16,2020-09-04,235.0,3329.0,277,51,79,Historical
17,2020-09-05,222.28571428571428,3309.0,265,50,81,Historical
18,2020-09-06,217.14285714285714,3268.0,265,50,84,Historical
19,2020-09-07,213.14285714285714,3315.0,265,50,85,Historical
20,2020-09-08,196.71428571428572,3393.0,265,50,86,Historical
21,2020-09-09,162.57142857142858,3368.0,257,47,88,Historical
22,2020-09-10,156.57142857142858,3409.0,240,53,91,Historical
23,2020-09-11,141.71428571428572,3346.0,240,52,94,Historical
24,2020-09-12,128.85714285714286,3262.0,220,51,96,Historical
25,2020-09-13,121.71428571428571,3198.0,220,51,97,Historical
26,2020-09-14,118.14285714285714,3049.0,225,53,99,Historical
27,2020-09-15,118.14285714285714,2872.0,225,53,99,Historical
28,2020-09-16,118.42857142857143,2735.0,222,60,100,Historical
29,2020-09-17,117.14285714285714,2637.0,210,56,103,Historical
