,Date,Metric,Values
13,2020-09-04,Cases,6808.066394176525
14,2020-09-05,Cases,7040.362262733984
15,2020-09-06,Cases,7269.487248284606
16,2020-09-07,Cases,7497.142558903423
17,2020-09-08,Cases,7724.126858859138
18,2020-09-09,Cases,7950.698054346937
19,2020-09-10,Cases,8176.785677804798
20,2020-09-11,Cases,8402.11600262081
21,2020-09-12,Cases,8626.286214586957
22,2020-09-13,Cases,8848.8088890629
23,2020-09-14,Cases,9069.139208447958
24,2020-09-15,Cases,9286.692197990873
13,2020-09-04,Cases,6602.38378341578
14,2020-09-05,Cases,6769.714444696535
15,2020-09-06,Cases,6929.799593411891
16,2020-09-07,Cases,7084.969985454416
17,2020-09-08,Cases,7236.477723374761
18,2020-09-09,Cases,7384.934225715244
19,2020-09-10,Cases,7530.569621479108
20,2020-09-11,Cases,7673.386705323974
21,2020-09-12,Cases,7813.252618255128
22,2020-09-13,Cases,7949.953740040651
23,2020-09-14,Cases,8083.22884696534
24,2020-09-15,Cases,8212.78942889225
13,2020-09-04,Hospitalized,277.0
14,2020-09-05,Hospitalized,295.71750432162764
15,2020-09-06,Hospitalized,295.4386794665325
16,2020-09-07,Hospitalized,313.8179334076276
17,2020-09-08,Hospitalized,331.89139323333734
18,2020-09-09,Hospitalized,349.6224542072838
19,2020-09-10,Hospitalized,366.9989490451288
20,2020-09-11,Hospitalized,384.02528511315927
21,2020-09-12,Hospitalized,400.7160356457549
22,2020-09-13,Hospitalized,417.0910295927405
23,2020-09-14,Hospitalized,433.17176559359916
24,2020-09-15,Hospitalized,448.9789069323675
13,2020-09-04,Hospitalized,277.0
14,2020-09-05,Hospitalized,294.99111591081567
15,2020-09-06,Hospitalized,294.44709893012924
16,2020-09-07,Hospitalized,311.8196883345851
17,2020-09-08,Hospitalized,328.6146619902854
18,2020-09-09,Hospitalized,344.7868062891818
19,2020-09-10,Hospitalized,360.32211105653903
20,2020-09-11,Hospitalized,375.2282748198481
21,2020-09-12,Hospitalized,389.52693694720443
22,2020-09-13,Hospitalized,403.24770730289345
23,2020-09-14,Hospitalized,416.4237931273473
24,2020-09-15,Hospitalized,429.08893451325264
13,2020-09-04,ICU,51.0
14,2020-09-05,ICU,53.0904088896951
15,2020-09-06,ICU,53.194624790915626
16,2020-09-07,ICU,55.37423955476119
17,2020-09-08,ICU,57.643802236344285
18,2020-09-09,ICU,59.98942196110083
19,2020-09-10,ICU,62.398146768726065
20,2020-09-11,ICU,64.85820594695208
21,2020-09-12,ICU,67.35911277914087
22,2020-09-13,ICU,69.89166553127949
23,2020-09-14,ICU,72.44787953220072
24,2020-09-15,ICU,75.02087652049717
13,2020-09-04,ICU,51.0
14,2020-09-05,ICU,53.070910234359495
15,2020-09-06,ICU,53.16295964134848
16,2020-09-07,ICU,55.307602821003314
17,2020-09-08,ICU,57.52686249839229
18,2020-09-09,ICU,59.80379061189632
19,2020-09-10,ICU,62.12258697426339
20,2020-09-11,ICU,64.46891825016408
21,2020-09-12,ICU,66.83006560233142
22,2020-09-13,ICU,69.19494662212207
23,2020-09-14,ICU,71.55405138345769
24,2020-09-15,ICU,73.89932449933175
13,2020-09-04,Fatal,79.0
14,2020-09-05,Fatal,80.09690860642168
15,2020-09-06,Fatal,80.22553568293883
16,2020-09-07,Fatal,81.45687158743502
17,2020-09-08,Fatal,82.82175404219802
18,2020-09-09,Fatal,84.32515937188026
19,2020-09-10,Fatal,85.9712569940397
20,2020-09-11,Fatal,87.76347381937502
21,2020-09-12,Fatal,89.70456880936479
22,2020-09-13,Fatal,91.79671046640661
23,2020-09-14,Fatal,94.04155216801377
24,2020-09-15,Fatal,96.44030202987659
13,2020-09-04,Fatal,79.0
14,2020-09-05,Fatal,80.09533295035384
15,2020-09-06,Fatal,80.22244177515893
16,2020-09-07,Fatal,81.44985422453777
17,2020-09-08,Fatal,82.80827063102655
18,2020-09-09,Fatal,84.30165492422752
19,2020-09-10,Fatal,85.93298648936054
20,2020-09-11,Fatal,87.70433958270883
21,2020-09-12,Fatal,89.61697651133886
22,2020-09-13,Fatal,91.67144568293284
23,2020-09-14,Fatal,93.86767821529297
24,2020-09-15,Fatal,96.20507895007712
13,2020-09-04,Scenario,Worst - 14 Day Shutdown
14,2020-09-05,Scenario,Worst - 14 Day Shutdown
15,2020-09-06,Scenario,Worst - 14 Day Shutdown
16,2020-09-07,Scenario,Worst - 14 Day Shutdown
17,2020-09-08,Scenario,Worst - 14 Day Shutdown
18,2020-09-09,Scenario,Worst - 14 Day Shutdown
19,2020-09-10,Scenario,Worst - 14 Day Shutdown
20,2020-09-11,Scenario,Worst - 14 Day Shutdown
21,2020-09-12,Scenario,Worst - 14 Day Shutdown
22,2020-09-13,Scenario,Worst - 14 Day Shutdown
23,2020-09-14,Scenario,Worst - 14 Day Shutdown
24,2020-09-15,Scenario,Worst - 14 Day Shutdown
13,2020-09-04,Scenario,Expected - 14 Day Shutdown
14,2020-09-05,Scenario,Expected - 14 Day Shutdown
15,2020-09-06,Scenario,Expected - 14 Day Shutdown
16,2020-09-07,Scenario,Expected - 14 Day Shutdown
17,2020-09-08,Scenario,Expected - 14 Day Shutdown
18,2020-09-09,Scenario,Expected - 14 Day Shutdown
19,2020-09-10,Scenario,Expected - 14 Day Shutdown
20,2020-09-11,Scenario,Expected - 14 Day Shutdown
21,2020-09-12,Scenario,Expected - 14 Day Shutdown
22,2020-09-13,Scenario,Expected - 14 Day Shutdown
23,2020-09-14,Scenario,Expected - 14 Day Shutdown
24,2020-09-15,Scenario,Expected - 14 Day Shutdown
