,UGA-CEID,Columbia-UNC,MIT-ORC,Ensemble,Columbia,LSHTM,Google-HSPH,JHU-CSSE,JHU-IDD,Karlen,LANL,Microsoft,MIT-LCP,MOBS,Oliver Wyman,PSI,ESG,CovidComplete,UA,UCLA,UCSB,UCSD-NEU,UMass-MB,UM,USC
2021-01-23,332.0,333.0,344.0,333.0,328.0,337.0,342.0,335.0,361.0,331.0,328.0,333.0,343.0,334.0,333.0,326.0,334.0,334.0,333.0,330.0,345.0,342.0,332.0,331.0,335.0
2021-01-24,333.42857142857144,335.2857142857143,346.57142857142856,335.2857142857143,329.0,339.42857142857144,345.85714285714283,337.42857142857144,367.7142857142857,332.85714285714283,329.42857142857144,336.0,347.14285714285717,336.14285714285717,335.0,327.2857142857143,336.14285714285717,336.14285714285717,335.57142857142856,331.2857142857143,348.7142857142857,345.42857142857144,334.0,332.85714285714283,337.85714285714283
2021-01-25,334.85714285714283,337.57142857142856,349.14285714285717,337.57142857142856,330.0,341.85714285714283,349.7142857142857,339.85714285714283,374.42857142857144,334.7142857142857,330.85714285714283,339.0,351.2857142857143,338.2857142857143,337.0,328.57142857142856,338.2857142857143,338.2857142857143,338.14285714285717,332.57142857142856,352.42857142857144,348.85714285714283,336.0,334.7142857142857,340.7142857142857
2021-01-26,336.2857142857143,339.85714285714283,351.7142857142857,339.85714285714283,331.0,344.2857142857143,353.57142857142856,342.2857142857143,381.14285714285717,336.57142857142856,332.2857142857143,342.0,355.42857142857144,340.42857142857144,339.0,329.85714285714283,340.42857142857144,340.42857142857144,340.7142857142857,333.85714285714283,356.14285714285717,352.2857142857143,338.0,336.57142857142856,343.57142857142856
2021-01-27,337.7142857142857,342.14285714285717,354.2857142857143,342.14285714285717,332.0,346.7142857142857,357.42857142857144,344.7142857142857,387.85714285714283,338.42857142857144,333.7142857142857,345.0,359.57142857142856,342.57142857142856,341.0,331.14285714285717,342.57142857142856,342.57142857142856,343.2857142857143,335.14285714285717,359.85714285714283,355.7142857142857,340.0,338.42857142857144,346.42857142857144
2021-01-28,339.14285714285717,344.42857142857144,356.85714285714283,344.42857142857144,333.0,349.14285714285717,361.2857142857143,347.14285714285717,394.57142857142856,340.2857142857143,335.14285714285717,348.0,363.7142857142857,344.7142857142857,343.0,332.42857142857144,344.7142857142857,344.7142857142857,345.85714285714283,336.42857142857144,363.57142857142856,359.14285714285717,342.0,340.2857142857143,349.2857142857143
2021-01-29,340.57142857142856,346.7142857142857,359.42857142857144,346.7142857142857,334.0,351.57142857142856,365.14285714285717,349.57142857142856,401.2857142857143,342.14285714285717,336.57142857142856,351.0,367.8571428571429,346.85714285714283,345.0,333.7142857142857,346.85714285714283,346.85714285714283,348.42857142857144,337.7142857142857,367.2857142857143,362.57142857142856,344.0,342.14285714285717,352.14285714285717
2021-01-30,342.0,349.0,362.0,349.0,335.0,354.0,369.0,352.0,408.0,344.0,338.0,354.0,372.0,349.0,347.0,335.0,349.0,349.0,351.0,339.0,371.0,366.0,346.0,344.0,355.0
2021-01-31,343.42857142857144,351.85714285714283,365.0,351.85714285714283,336.0,356.42857142857144,373.0,354.42857142857144,415.7142857142857,345.85714285714283,339.42857142857144,356.85714285714283,377.2857142857143,351.2857142857143,349.2857142857143,336.42857142857144,350.7142857142857,352.0,354.14285714285717,340.14285714285717,374.7142857142857,369.7142857142857,348.0,346.0,357.85714285714283
2021-02-01,344.85714285714283,354.7142857142857,368.0,354.7142857142857,337.0,358.85714285714283,377.0,356.85714285714283,423.42857142857144,347.7142857142857,340.85714285714283,359.7142857142857,382.57142857142856,353.57142857142856,351.57142857142856,337.85714285714283,352.42857142857144,355.0,357.2857142857143,341.2857142857143,378.42857142857144,373.42857142857144,350.0,348.0,360.7142857142857
2021-02-02,346.2857142857143,357.57142857142856,371.0,357.57142857142856,338.0,361.2857142857143,381.0,359.2857142857143,431.14285714285717,349.57142857142856,342.2857142857143,362.57142857142856,387.85714285714283,355.85714285714283,353.85714285714283,339.2857142857143,354.14285714285717,358.0,360.42857142857144,342.42857142857144,382.14285714285717,377.14285714285717,352.0,350.0,363.57142857142856
2021-02-03,347.7142857142857,360.42857142857144,374.0,360.42857142857144,339.0,363.7142857142857,385.0,361.7142857142857,438.85714285714283,351.42857142857144,343.7142857142857,365.42857142857144,393.14285714285717,358.14285714285717,356.14285714285717,340.7142857142857,355.85714285714283,361.0,363.57142857142856,343.57142857142856,385.85714285714283,380.85714285714283,354.0,352.0,366.42857142857144
2021-02-04,349.14285714285717,363.2857142857143,377.0,363.2857142857143,340.0,366.14285714285717,389.0,364.14285714285717,446.57142857142856,353.2857142857143,345.14285714285717,368.2857142857143,398.42857142857144,360.42857142857144,358.42857142857144,342.14285714285717,357.57142857142856,364.0,366.7142857142857,344.7142857142857,389.57142857142856,384.57142857142856,356.0,354.0,369.2857142857143
2021-02-05,350.57142857142856,366.14285714285717,380.0,366.14285714285717,341.0,368.57142857142856,393.0,366.57142857142856,454.2857142857143,355.14285714285717,346.57142857142856,371.14285714285717,403.7142857142857,362.7142857142857,360.7142857142857,343.57142857142856,359.2857142857143,367.0,369.85714285714283,345.85714285714283,393.2857142857143,388.2857142857143,358.0,356.0,372.14285714285717
2021-02-06,352.0,369.0,383.0,369.0,342.0,371.0,397.0,369.0,462.0,357.0,348.0,374.0,409.0,365.0,363.0,345.0,361.0,370.0,373.0,347.0,397.0,392.0,360.0,358.0,375.0
2021-02-07,352.85714285714283,372.2857142857143,387.0,372.0,343.0,373.7142857142857,400.7142857142857,371.57142857142856,471.14285714285717,359.0,349.42857142857144,377.0,416.42857142857144,367.42857142857144,365.42857142857144,346.2857142857143,362.57142857142856,372.85714285714283,375.7142857142857,348.0,400.85714285714283,396.14285714285717,362.14285714285717,359.85714285714283,378.0
2021-02-08,353.7142857142857,375.57142857142856,391.0,375.0,344.0,376.42857142857144,404.42857142857144,374.14285714285717,480.2857142857143,361.0,350.85714285714283,380.0,423.85714285714283,369.85714285714283,367.85714285714283,347.57142857142856,364.14285714285717,375.7142857142857,378.42857142857144,349.0,404.7142857142857,400.2857142857143,364.2857142857143,361.7142857142857,381.0
2021-02-09,354.57142857142856,378.85714285714283,395.0,378.0,345.0,379.14285714285717,408.14285714285717,376.7142857142857,489.42857142857144,363.0,352.2857142857143,383.0,431.2857142857143,372.2857142857143,370.2857142857143,348.85714285714283,365.7142857142857,378.57142857142856,381.14285714285717,350.0,408.57142857142856,404.42857142857144,366.42857142857144,363.57142857142856,384.0
2021-02-10,355.42857142857144,382.14285714285717,399.0,381.0,346.0,381.85714285714283,411.85714285714283,379.2857142857143,498.57142857142856,365.0,353.7142857142857,386.0,438.7142857142857,374.7142857142857,372.7142857142857,350.14285714285717,367.2857142857143,381.42857142857144,383.85714285714283,351.0,412.42857142857144,408.57142857142856,368.57142857142856,365.42857142857144,387.0
2021-02-11,356.2857142857143,385.42857142857144,403.0,384.0,347.0,384.57142857142856,415.57142857142856,381.85714285714283,507.7142857142857,367.0,355.14285714285717,389.0,446.14285714285717,377.14285714285717,375.14285714285717,351.42857142857144,368.85714285714283,384.2857142857143,386.57142857142856,352.0,416.2857142857143,412.7142857142857,370.7142857142857,367.2857142857143,390.0
2021-02-12,357.14285714285717,388.7142857142857,407.0,387.0,348.0,387.2857142857143,419.2857142857143,384.42857142857144,516.8571428571429,369.0,356.57142857142856,392.0,453.57142857142856,379.57142857142856,377.57142857142856,352.7142857142857,370.42857142857144,387.14285714285717,389.2857142857143,353.0,420.14285714285717,416.8571428571429,372.85714285714283,369.14285714285717,393.0
2021-02-13,358.0,392.0,411.0,390.0,349.0,390.0,423.0,387.0,526.0,371.0,358.0,395.0,461.0,382.0,380.0,354.0,372.0,390.0,392.0,354.0,424.0,421.0,375.0,371.0,396.0
