,Date,Metric,Values
10,2020-08-30,Cases,5785.758772626846
11,2020-08-31,Cases,6002.337304145235
12,2020-09-01,Cases,6215.628835747784
13,2020-09-02,Cases,6428.034290929431
14,2020-09-03,Cases,6640.82032140811
15,2020-09-04,Cases,6854.578186193081
16,2020-09-05,Cases,7069.4920087132905
17,2020-09-06,Cases,7285.495786331041
18,2020-09-07,Cases,7483.595363958729
19,2020-09-08,Cases,7660.077008397163
20,2020-09-09,Cases,7822.499130084298
21,2020-09-10,Cases,7975.206441915577
22,2020-09-11,Cases,8120.638024604431
23,2020-09-12,Cases,8260.102908387154
24,2020-09-13,Cases,8394.240498339506
25,2020-09-14,Cases,8523.294377143211
26,2020-09-15,Cases,8626.544419457343
10,2020-08-30,Cases,5780.1303131503
11,2020-08-31,Cases,5945.454231783073
12,2020-09-01,Cases,6102.683546270471
13,2020-09-02,Cases,6255.005034058444
14,2020-09-03,Cases,6404.197864733599
15,2020-09-04,Cases,6551.20604235849
16,2020-09-05,Cases,6696.476546995369
17,2020-09-06,Cases,6840.159323365127
18,2020-09-07,Cases,6964.588416566995
19,2020-09-08,Cases,7066.63595968765
20,2020-09-09,Cases,7153.833931258753
21,2020-09-10,Cases,7230.639324942522
22,2020-09-11,Cases,7299.671171675129
23,2020-09-12,Cases,7362.450702612006
24,2020-09-13,Cases,7419.844526883755
25,2020-09-14,Cases,7472.3302038460215
26,2020-09-15,Cases,7501.81650670005
10,2020-08-30,Hospitalized,272.0
11,2020-08-31,Hospitalized,290.3595762603659
12,2020-09-01,Hospitalized,290.1337988719432
13,2020-09-02,Hospitalized,308.1737314451673
14,2020-09-03,Hospitalized,325.9406963523162
15,2020-09-04,Hospitalized,343.37416982868956
16,2020-09-05,Hospitalized,360.4493129218439
17,2020-09-06,Hospitalized,377.1660946618774
18,2020-09-07,Hospitalized,393.53556521628934
19,2020-09-08,Hospitalized,409.54681380310564
20,2020-09-09,Hospitalized,425.1946715504364
21,2020-09-10,Hospitalized,440.46833283488155
22,2020-09-11,Hospitalized,455.33887308876757
23,2020-09-12,Hospitalized,469.77777821274117
24,2020-09-13,Hospitalized,483.7648381096496
25,2020-09-14,Hospitalized,497.28956008656456
26,2020-09-15,Hospitalized,510.344366408715
10,2020-08-30,Hospitalized,272.0
11,2020-08-31,Hospitalized,290.4127758217849
12,2020-09-01,Hospitalized,289.9533231490084
13,2020-09-02,Hospitalized,307.7845731271647
14,2020-09-03,Hospitalized,325.09239813791686
15,2020-09-04,Hospitalized,341.7968731087601
16,2020-09-05,Hospitalized,357.86288041612465
17,2020-09-06,Hospitalized,373.2870508141683
18,2020-09-07,Hospitalized,388.08246398210923
19,2020-09-08,Hospitalized,402.2457666160398
20,2020-09-09,Hospitalized,415.7821135283041
21,2020-09-10,Hospitalized,428.6934919701239
22,2020-09-11,Hospitalized,440.96639039669816
23,2020-09-12,Hospitalized,452.58892679803824
24,2020-09-13,Hospitalized,463.55797044781707
25,2020-09-14,Hospitalized,473.8801759605304
26,2020-09-15,Hospitalized,483.56562689050384
10,2020-08-30,ICU,57.0
11,2020-08-31,ICU,58.694114204978234
12,2020-09-01,ICU,58.830701581290846
13,2020-09-02,ICU,60.643870246104164
14,2020-09-03,ICU,62.576637061880334
15,2020-09-04,ICU,64.61260913570308
16,2020-09-05,ICU,66.7362781660733
17,2020-09-06,ICU,68.93342559236116
18,2020-09-07,ICU,71.19131039975844
19,2020-09-08,ICU,73.49842796247808
20,2020-09-09,ICU,75.84417853175411
21,2020-09-10,ICU,78.21890375594616
22,2020-09-11,ICU,80.61351137243442
23,2020-09-12,ICU,83.01928832669859
24,2020-09-13,ICU,85.42794933256404
25,2020-09-14,ICU,87.8317490436615
26,2020-09-15,ICU,90.22355988221891
10,2020-08-30,ICU,57.0
11,2020-08-31,ICU,58.721454888543235
12,2020-09-01,ICU,58.8544177533625
13,2020-09-02,ICU,60.68758416345233
14,2020-09-03,ICU,62.63299788904414
15,2020-09-04,ICU,64.67070485972289
16,2020-09-05,ICU,66.7817367392097
17,2020-09-06,ICU,68.94863685382587
18,2020-09-07,ICU,71.15572520445157
19,2020-09-08,ICU,73.38891722506742
20,2020-09-09,ICU,75.63542978644301
21,2020-09-10,ICU,77.88381526041123
22,2020-09-11,ICU,80.12359483481465
23,2020-09-12,ICU,82.34506385088177
24,2020-09-13,ICU,84.53931553674134
25,2020-09-14,ICU,86.69832173924648
26,2020-09-15,ICU,88.81498027138989
10,2020-08-30,Fatal,62.0
11,2020-08-31,Fatal,62.494427460105825
12,2020-09-01,Fatal,62.56498226566937
13,2020-09-02,Fatal,63.135076868163765
14,2020-09-03,Fatal,63.7801456877311
15,2020-09-04,Fatal,64.50464277118361
16,2020-09-05,Fatal,65.31238240028358
17,2020-09-06,Fatal,66.20658333505047
18,2020-09-07,Fatal,67.18992495542614
19,2020-09-08,Fatal,68.26460353386602
20,2020-09-09,Fatal,69.43237308624863
21,2020-09-10,Fatal,70.69458317932687
22,2020-09-11,Fatal,72.05220959376153
23,2020-09-12,Fatal,73.50587209448712
24,2020-09-13,Fatal,75.05585014217102
25,2020-09-14,Fatal,76.70210220748581
26,2020-09-15,Fatal,78.44428928670351
10,2020-08-30,Fatal,62.0
11,2020-08-31,Fatal,62.49906236110187
12,2020-09-01,Fatal,62.57065046299569
13,2020-09-02,Fatal,63.146194282302005
14,2020-09-03,Fatal,63.79737708443788
15,2020-09-04,Fatal,64.52828757763508
16,2020-09-05,Fatal,65.3422337937008
17,2020-09-06,Fatal,66.2417939577066
18,2020-09-07,Fatal,67.22888316944623
19,2020-09-08,Fatal,68.30482283872246
20,2020-09-09,Fatal,69.47039683575844
21,2020-09-10,Fatal,70.72590511413172
22,2020-09-11,Fatal,72.0712103097191
23,2020-09-12,Fatal,73.50577154229512
24,2020-09-13,Fatal,75.02867546372569
25,2020-09-14,Fatal,76.6386697592045
26,2020-09-15,Fatal,78.33419957106952
10,2020-08-30,Scenario,Worst - 14 Day Shutdown
11,2020-08-31,Scenario,Worst - 14 Day Shutdown
12,2020-09-01,Scenario,Worst - 14 Day Shutdown
13,2020-09-02,Scenario,Worst - 14 Day Shutdown
14,2020-09-03,Scenario,Worst - 14 Day Shutdown
15,2020-09-04,Scenario,Worst - 14 Day Shutdown
16,2020-09-05,Scenario,Worst - 14 Day Shutdown
17,2020-09-06,Scenario,Worst - 14 Day Shutdown
18,2020-09-07,Scenario,Worst - 14 Day Shutdown
19,2020-09-08,Scenario,Worst - 14 Day Shutdown
20,2020-09-09,Scenario,Worst - 14 Day Shutdown
21,2020-09-10,Scenario,Worst - 14 Day Shutdown
22,2020-09-11,Scenario,Worst - 14 Day Shutdown
23,2020-09-12,Scenario,Worst - 14 Day Shutdown
24,2020-09-13,Scenario,Worst - 14 Day Shutdown
25,2020-09-14,Scenario,Worst - 14 Day Shutdown
26,2020-09-15,Scenario,Worst - 14 Day Shutdown
