,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-01-03,139.86142610836123,1741.0,86.62832464559553,10.962673759002685,289.183495930363,Pessimistic
1,2021-01-04,142.29833101430427,1749.0,90.0280501607384,11.156765330293915,289.68106853312753,Pessimistic
2,2021-01-05,142.32020180224322,1825.0,93.33015968788726,11.379290937452042,290.18803107158516,Pessimistic
3,2021-01-06,143.49293777183516,1861.0,96.54091369912427,11.626219070352347,290.70557050987287,Pessimistic
4,2021-01-07,145.3663925909973,1877.0,99.66879986735036,11.894006828255858,291.2347034486639,Pessimistic
5,2021-01-08,147.673099976113,1905.0,102.72347004654004,12.179576641562752,291.7762976386519,Pessimistic
6,2021-01-09,150.25410101825491,1935.0,105.7149862980281,12.48028260446088,292.33109219182245,Pessimistic
7,2021-01-10,153.01488493258694,1993.0,108.65330840014681,12.793871248212117,292.89971613721485,Pessimistic
8,2021-01-11,155.89921583033083,2103.0,111.54796296397086,13.118440227701363,293.4827051537441,Pessimistic
9,2021-01-12,158.87358340073024,2186.0,114.40784491655927,13.452397299497614,294.0805164432974,Pessimistic
10,2021-01-13,161.91796429938768,2240.0,117.24111271648191,13.794421130399483,294.693541794555,Pessimistic
11,2021-01-14,165.02033238958256,2217.0,120.05514797620224,14.143424856117562,295.32211894256193,Pessimistic
12,2021-01-15,168.17339612798696,2144.0,122.85655780355673,14.498522867948399,295.96654135992964,Pessimistic
13,2021-01-16,171.37265916400384,2144.0,125.65120417856353,14.859001000676411,296.6270666297555,Pessimistic
14,2021-01-17,174.61526716119624,2179.0,128.44424926260035,15.224290092959253,297.30392355326774,Pessimistic
0,2021-01-03,139.86142610836123,1741.0,85.39985038085628,10.935343151035687,289.18179259425034,Expected
1,2021-01-04,139.1688096831067,1746.0,88.22550928024312,11.110891711023346,289.67774283120536,Expected
2,2021-01-05,134.8862841761295,1815.0,90.83029794297057,11.30772240093736,290.18209177116984,Expected
3,2021-01-06,132.5186534114057,1841.0,93.22236928306235,11.520769283145892,290.69568077461736,Expected
4,2021-01-07,131.3039137233609,1843.0,95.41393706105441,11.745593961965085,291.21913736648855,Expected
5,2021-01-08,130.78207821018327,1854.0,97.41950073978313,11.978369468257714,291.7529032047427,Expected
6,2021-01-09,130.67543445638194,1865.0,99.25455895550715,12.215844408494101,292.29726084531035,Expected
7,2021-01-10,130.81628297147108,1901.0,100.93471557688876,12.455295416919835,292.85235860454554,Expected
8,2021-01-11,131.10332741350294,1986.0,102.4750874961816,12.694473861930181,293.4182331339649,Expected
9,2021-01-12,131.4753548010426,2041.0,103.88993648767351,12.931551008272502,293.9948295491103,Expected
10,2021-01-13,131.89534982246187,2065.0,105.19246253850393,13.16506445659651,294.58201911103845,Expected
11,2021-01-14,132.34090620003008,2009.0,106.39471015514046,13.393867639273656,295.1796145612852,Expected
12,2021-01-15,132.79843859714993,1901.0,107.50755116413833,13.617083391259914,295.78738327314863,Expected
13,2021-01-16,133.2596884625168,1863.0,108.54071722307272,13.834062078679025,296.40505841518547,Expected
14,2021-01-17,133.71961454376242,1857.0,109.50286280505065,14.044344402883382,297.03234833576965,Expected
0,2020-12-05,92.42857142857143,1327.0,57,14,261,Historical
1,2020-12-06,99.28571428571429,1309.0,57,14,262,Historical
2,2020-12-07,98.71428571428571,1290.0,57,14,262,Historical
3,2020-12-08,100.0,1282.0,46,17,262,Historical
4,2020-12-09,100.28571428571429,1254.0,47,16,266,Historical
5,2020-12-10,97.28571428571429,1257.0,51,18,268,Historical
6,2020-12-11,94.85714285714286,1254.0,48,19,269,Historical
7,2020-12-12,104.14285714285714,1376.0,58,21,271,Historical
8,2020-12-13,102.0,1409.0,58,21,274,Historical
9,2020-12-14,117.57142857142857,1514.0,58,21,274,Historical
10,2020-12-15,118.14285714285714,1527.0,57,17,274,Historical
11,2020-12-16,122.42857142857143,1559.0,60,19,278,Historical
12,2020-12-17,125.14285714285714,1557.0,53,14,280,Historical
13,2020-12-18,131.0,1581.0,52,14,281,Historical
14,2020-12-19,125.0,1604.0,52,14,281,Historical
15,2020-12-20,141.28571428571428,1703.0,52,14,282,Historical
16,2020-12-21,133.28571428571428,1756.0,49,15,282,Historical
17,2020-12-22,134.57142857142858,1769.0,49,15,282,Historical
18,2020-12-23,134.14285714285714,1796.0,67,14,285,Historical
19,2020-12-24,132.28571428571428,1802.0,67,14,285,Historical
20,2020-12-25,130.85714285714286,1833.0,64,11,285,Historical
21,2020-12-26,125.71428571428571,1755.0,64,11,285,Historical
22,2020-12-27,110.14285714285714,1760.0,64,11,285,Historical
23,2020-12-28,97.57142857142857,1616.0,125,23,285,Historical
24,2020-12-29,99.0,1635.0,89,14,285,Historical
25,2020-12-30,99.14285714285714,1633.0,81,14,285,Historical
26,2020-12-31,107.57142857142857,1679.0,97,16,288,Historical
27,2021-01-01,124.85714285714286,1790.0,86,11,289,Historical
28,2021-01-02,132.14285714285714,1805.0,86,11,289,Historical
29,2021-01-03,139.85714285714286,1741.0,86,11,289,Historical
