,Date,Metric,Values
9,2020-09-03,Cases,6544.087568557998
10,2020-09-04,Cases,6846.053903749273
11,2020-09-05,Cases,7120.068767957802
12,2020-09-06,Cases,7378.423374834974
13,2020-09-07,Cases,7628.11836684711
14,2020-09-08,Cases,7873.044869785519
15,2020-09-09,Cases,8115.260079158315
16,2020-09-10,Cases,8355.733983951939
17,2020-09-11,Cases,8594.78712449302
18,2020-09-12,Cases,8832.347828283731
19,2020-09-13,Cases,9068.10398259957
20,2020-09-14,Cases,9301.593226734261
21,2020-09-15,Cases,9532.257231280217
22,2020-09-16,Cases,9759.475082265706
23,2020-09-17,Cases,9982.584557102078
24,2020-09-18,Cases,10200.896430331213
25,2020-09-19,Cases,10413.704807673492
26,2020-09-20,Cases,10620.295230443524
27,2020-09-21,Cases,10819.951552976501
28,2020-09-22,Cases,11011.962159309258
29,2020-09-23,Cases,11195.625826861826
30,2020-09-24,Cases,11370.257391088735
31,2020-09-25,Cases,11535.193273216511
32,2020-09-26,Cases,11689.796878230347
33,2020-09-27,Cases,11833.46383758995
34,2020-09-28,Cases,11965.627052190468
35,2020-09-29,Cases,12085.761480833582
36,2020-09-30,Cases,12193.388614992069
37,2020-10-01,Cases,12288.080580184584
38,2020-10-02,Cases,12369.463806751986
39,2020-10-03,Cases,12437.222217549219
40,2020-10-04,Cases,12491.099886550694
41,2020-10-05,Cases,12530.903130234017
9,2020-09-03,Cases,6493.152993659106
10,2020-09-04,Cases,6746.787757027152
11,2020-09-05,Cases,6963.12468744893
12,2020-09-06,Cases,7156.903249626787
13,2020-09-07,Cases,7336.69886668911
14,2020-09-08,Cases,7507.441826153471
15,2020-09-09,Cases,7671.904745727991
16,2020-09-10,Cases,7831.581636530845
17,2020-09-11,Cases,7987.207964360823
18,2020-09-12,Cases,8139.068789753945
19,2020-09-13,Cases,8287.1817597769
20,2020-09-14,Cases,8431.406166578337
21,2020-09-15,Cases,8571.508313522707
22,2020-09-16,Cases,8707.201051874834
23,2020-09-17,Cases,8838.168042359874
24,2020-09-18,Cases,8964.07897798671
25,2020-09-19,Cases,9084.599451946897
26,2020-09-20,Cases,9199.397644479075
27,2020-09-21,Cases,9308.149108863574
28,2020-09-22,Cases,9410.540407410703
29,2020-09-23,Cases,9506.272034709915
30,2020-09-24,Cases,9595.060879618932
31,2020-09-25,Cases,9676.64236751421
32,2020-09-26,Cases,9750.772359438235
33,2020-09-27,Cases,9817.228846749542
34,2020-09-28,Cases,9875.813457909197
35,2020-09-29,Cases,9926.352781711
36,2020-09-30,Cases,9968.69950476574
37,2020-10-01,Cases,10002.733358101817
38,2020-10-02,Cases,10028.361866974372
39,2020-10-03,Cases,10045.520898548033
40,2020-10-04,Cases,10054.175003519167
41,2020-10-05,Cases,10054.31754964434
9,2020-09-03,Cases,6442.366263069988
10,2020-09-04,Cases,6648.143353245844
11,2020-09-05,Cases,6807.83762354337
12,2020-09-06,Cases,6938.833045422036
13,2020-09-07,Cases,7051.435964801027
14,2020-09-08,Cases,7151.731417544445
15,2020-09-09,Cases,7243.2864087538255
16,2020-09-10,Cases,7328.166181298559
17,2020-09-11,Cases,7407.540985600989
18,2020-09-12,Cases,7482.04865403804
19,2020-09-13,Cases,7552.011481657073
20,2020-09-14,Cases,7617.566133494021
21,2020-09-15,Cases,7678.7415992834385
22,2020-09-16,Cases,7735.506091445338
23,2020-09-17,Cases,7787.795359900085
24,2020-09-18,Cases,7835.529872827043
25,2020-09-19,Cases,7878.625313648408
26,2020-09-20,Cases,7916.999053811812
27,2020-09-21,Cases,7950.574191169263
28,2020-09-22,Cases,7979.282104408487
29,2020-09-23,Cases,8003.064091783967
30,2020-09-24,Cases,8021.872433878629
31,2020-09-25,Cases,8035.671083527089
32,2020-09-26,Cases,8044.436104434144
33,2020-09-27,Cases,8048.155931355663
34,2020-09-28,Cases,8046.831495768349
35,2020-09-29,Cases,8040.476243832612
36,2020-09-30,Cases,8029.1160634113185
37,2020-10-01,Cases,8012.789131103929
38,2020-10-02,Cases,7991.545686983867
39,2020-10-03,Cases,7965.447742959783
40,2020-10-04,Cases,7934.568729800388
41,2020-10-05,Cases,7898.993087493754
9,2020-09-03,Hospitalized,276.0
10,2020-09-04,Hospitalized,297.3286788948625
11,2020-09-05,Hospitalized,297.536971082551
12,2020-09-06,Hospitalized,318.81219183356035
13,2020-09-07,Hospitalized,340.10169339830725
14,2020-09-08,Hospitalized,361.2083346813915
15,2020-09-09,Hospitalized,381.9914968170658
16,2020-09-10,Hospitalized,402.3621707682521
17,2020-09-11,Hospitalized,422.2727705248522
18,2020-09-12,Hospitalized,441.7061883331015
19,2020-09-13,Hospitalized,460.6660398178565
20,2020-09-14,Hospitalized,479.1687467239798
21,2020-09-15,Hospitalized,497.23748838627745
22,2020-09-16,Hospitalized,514.8977946899149
23,2020-09-17,Hospitalized,532.1744749185111
24,2020-09-18,Hospitalized,549.0895827165148
25,2020-09-19,Hospitalized,565.6611574345789
26,2020-09-20,Hospitalized,581.9025314584629
27,2020-09-21,Hospitalized,597.8220402439451
28,2020-09-22,Hospitalized,613.4230121651874
29,2020-09-23,Hospitalized,628.7039478555807
30,2020-09-24,Hospitalized,643.6588239717428
31,2020-09-25,Hospitalized,658.2774753341788
32,2020-09-26,Hospitalized,672.5460234033609
33,2020-09-27,Hospitalized,686.4473291552597
34,2020-09-28,Hospitalized,699.9614555711075
35,2020-09-29,Hospitalized,713.0661299134308
36,2020-09-30,Hospitalized,725.737199317437
37,2020-10-01,Hospitalized,737.9490754359342
38,2020-10-02,Hospitalized,749.6751652765602
39,2020-10-03,Hospitalized,760.8882862134477
40,2020-10-04,Hospitalized,771.5610636259655
41,2020-10-05,Hospitalized,781.6663098484767
9,2020-09-03,Hospitalized,276.0
10,2020-09-04,Hospitalized,297.18547549478194
11,2020-09-05,Hospitalized,297.2301983085142
12,2020-09-06,Hospitalized,318.14476027774333
13,2020-09-07,Hospitalized,338.86943049856995
14,2020-09-08,Hospitalized,359.1663864806177
15,2020-09-09,Hospitalized,378.8658907492245
16,2020-09-10,Hospitalized,397.8608121604933
17,2020-09-11,Hospitalized,416.0947904540068
18,2020-09-12,Hospitalized,433.5493891587855
19,2020-09-13,Hospitalized,450.23257459392505
20,2020-09-14,Hospitalized,466.16932118094894
21,2020-09-15,Hospitalized,481.39440494921166
22,2020-09-16,Hospitalized,495.9471317794778
23,2020-09-17,Hospitalized,509.8676465279357
24,2020-09-18,Hospitalized,523.1944708463167
25,2020-09-19,Hospitalized,535.962961748666
26,2020-09-20,Hospitalized,548.2044397118393
27,2020-09-21,Hospitalized,559.9457902144375
28,2020-09-22,Hospitalized,571.2093903722086
29,2020-09-23,Hospitalized,582.0132511766981
30,2020-09-24,Hospitalized,592.3712962016566
31,2020-09-25,Hospitalized,602.293720697191
32,2020-09-26,Hospitalized,611.7873921204302
33,2020-09-27,Hospitalized,620.8562656458733
34,2020-09-28,Hospitalized,629.5017971629488
35,2020-09-29,Hospitalized,637.7233425972083
36,2020-09-30,Hospitalized,645.5185367847621
37,2020-10-01,Hospitalized,652.8836481214515
38,2020-10-02,Hospitalized,659.8139071995429
39,2020-10-03,Hospitalized,666.3038089316394
40,2020-10-04,Hospitalized,672.3473884603293
41,2020-10-05,Hospitalized,677.9384716190222
9,2020-09-03,Hospitalized,276.0
10,2020-09-04,Hospitalized,297.0427149787208
11,2020-09-05,Hospitalized,296.9252187652344
12,2020-09-06,Hospitalized,317.4827102916523
13,2020-09-07,Hospitalized,337.6501620328222
14,2020-09-08,Hospitalized,357.15165242850185
15,2020-09-09,Hospitalized,375.7916124696519
16,2020-09-10,Hospitalized,393.4486524383897
17,2020-09-11,Hospitalized,410.0618991967898
18,2020-09-12,Hospitalized,425.61605089847234
19,2020-09-13,Hospitalized,440.12789917394883
20,2020-09-14,Hospitalized,453.63528431080056
21,2020-09-15,Hospitalized,466.1885818545678
22,2020-09-16,Hospitalized,477.84444223456103
23,2020-09-17,Hospitalized,488.6613800699482
24,2020-09-18,Hospitalized,498.6968061895455
25,2020-09-19,Hospitalized,508.0051435366024
26,2020-09-20,Hospitalized,516.636732451375
27,2020-09-21,Hospitalized,524.637294333755
28,2020-09-22,Hospitalized,532.0477782646951
29,2020-09-23,Hospitalized,538.904460715435
30,2020-09-24,Hospitalized,545.2392042870056
31,2020-09-25,Hospitalized,551.0798087692197
32,2020-09-26,Hospitalized,556.450408228156
33,2020-09-27,Hospitalized,561.3718827995181
34,2020-09-28,Hospitalized,565.8622646581337
35,2020-09-29,Hospitalized,569.937125293255
36,2020-09-30,Hospitalized,573.609936565414
37,2020-10-01,Hospitalized,576.8924016827993
38,2020-10-02,Hospitalized,579.794754687357
39,2020-10-03,Hospitalized,582.3260286346024
40,2020-10-04,Hospitalized,584.4942936439617
41,2020-10-05,Hospitalized,586.3068665749299
9,2020-09-03,ICU,47.0
10,2020-09-04,ICU,48.79146038716891
11,2020-09-05,ICU,48.97105279231011
12,2020-09-06,ICU,50.92615506011431
13,2020-09-07,ICU,53.0427031076859
14,2020-09-08,ICU,55.303855983164155
15,2020-09-09,ICU,57.69162790265706
16,2020-09-10,ICU,60.18789047747593
17,2020-09-11,ICU,62.77514698972399
18,2020-09-12,ICU,65.43705654087488
19,2020-09-13,ICU,68.15873810266511
20,2020-09-14,ICU,70.92690139440276
21,2020-09-15,ICU,73.7298518384048
22,2020-09-16,ICU,76.55741037487815
23,2020-09-17,ICU,79.40078051524611
24,2020-09-18,ICU,82.2523869223082
25,2020-09-19,ICU,85.1057029108528
26,2020-09-20,ICU,87.95507877660627
27,2020-09-21,ICU,90.79557869388327
28,2020-09-22,ICU,93.62283086741903
29,2020-09-23,ICU,96.43289345378764
30,2020-09-24,ICU,99.22213727365983
31,2020-09-25,ICU,101.98714534283847
32,2020-09-26,ICU,104.72462861833074
33,2020-09-27,ICU,107.43135697887026
34,2020-09-28,ICU,110.10410425751637
35,2020-09-29,ICU,112.73960605892164
36,2020-09-30,ICU,115.33452908381433
37,2020-10-01,ICU,117.88545071886746
38,2020-10-02,ICU,120.38884771130004
39,2020-10-03,ICU,122.84109282084354
40,2020-10-04,ICU,125.2384584184754
41,2020-10-05,ICU,127.57712607632169
9,2020-09-03,ICU,47.0
10,2020-09-04,ICU,48.789717157854625
11,2020-09-05,ICU,48.965864168564806
12,2020-09-06,ICU,50.912973593726136
