,USC,JHU-CSSE,JHU-APL,JHU-IDD,Columbia,LANL,ESG,UCLA,IEM,Microsoft,UGA-CEID,BPagano,MIT-ORC,UVA,Ensemble,LNQ,UM,UCSB,OneQuietNight,Karlen,Covid19Sim,MIT-ISOLAT
2021-01-23,175.0,178.57142857142858,219.85714285714286,230.28571428571428,126.14285714285714,154.57142857142858,168.14285714285714,124.28571428571429,178.0,170.14285714285714,148.85714285714286,144.14285714285714,238.28571428571428,239.42857142857142,162.57142857142858,147.71428571428572,144.28571428571428,193.0,117.14285714285714,164.57142857142858,177.71428571428572,158.14285714285714
2021-01-24,175.12244897959184,180.46938775510205,224.0,240.0612244897959,121.48979591836735,154.9795918367347,167.14285714285714,125.77551020408164,180.69387755102042,165.71428571428572,149.10204081632654,144.73469387755102,247.40816326530611,228.3673469387755,162.42857142857144,148.44897959183675,142.3469387755102,195.9387755102041,118.3265306122449,165.8979591836735,178.42857142857144,159.0408163265306
2021-01-25,175.24489795918367,182.3673469387755,228.14285714285714,249.83673469387756,116.83673469387755,155.3877551020408,166.14285714285714,127.26530612244899,183.3877551020408,161.28571428571428,149.3469387755102,145.32653061224488,256.53061224489795,217.30612244897958,162.2857142857143,149.18367346938777,140.40816326530611,198.87755102040816,119.51020408163265,167.22448979591837,179.14285714285714,159.93877551020407
2021-01-26,175.3673469387755,184.26530612244898,232.28571428571428,259.61224489795916,112.18367346938776,155.79591836734693,165.14285714285714,128.75510204081633,186.08163265306123,156.85714285714286,149.59183673469389,145.91836734693877,265.6530612244898,206.24489795918367,162.14285714285717,149.9183673469388,138.46938775510205,201.81632653061226,120.6938775510204,168.55102040816328,179.85714285714286,160.83673469387753
2021-01-27,175.48979591836735,186.16326530612247,236.42857142857144,269.38775510204084,107.53061224489795,156.20408163265307,164.14285714285714,130.24489795918367,188.77551020408163,152.42857142857142,149.83673469387756,146.51020408163265,274.7755102040816,195.18367346938774,162.0,150.6530612244898,136.53061224489795,204.75510204081633,121.87755102040816,169.87755102040816,180.57142857142858,161.73469387755102
2021-01-28,175.6122448979592,188.06122448979593,240.57142857142858,279.16326530612247,102.87755102040816,156.6122448979592,163.14285714285714,131.73469387755102,191.46938775510205,148.0,150.08163265306123,147.10204081632654,283.8979591836735,184.12244897959184,161.85714285714286,151.3877551020408,134.59183673469389,207.69387755102042,123.06122448979592,171.20408163265307,181.2857142857143,162.6326530612245
2021-01-29,175.73469387755102,189.9591836734694,244.71428571428572,288.9387755102041,98.22448979591837,157.0204081632653,162.14285714285714,133.22448979591837,194.16326530612247,143.57142857142856,150.3265306122449,147.6938775510204,293.0204081632653,173.0612244897959,161.71428571428572,152.12244897959184,132.6530612244898,210.63265306122452,124.24489795918367,172.53061224489795,182.0,163.53061224489795
2021-01-30,175.85714285714286,191.85714285714286,248.85714285714286,298.7142857142857,93.57142857142857,157.42857142857142,161.14285714285714,134.71428571428572,196.85714285714286,139.14285714285714,150.57142857142858,148.28571428571428,302.14285714285717,162.0,161.57142857142858,152.85714285714286,130.71428571428572,213.57142857142858,125.42857142857143,173.85714285714286,182.71428571428572,164.42857142857142
2021-01-31,175.9591836734694,192.9591836734694,253.40816326530611,312.57142857142856,90.77551020408163,157.24489795918367,160.08163265306123,133.3265306122449,199.73469387755102,142.18367346938774,151.02040816326533,150.16326530612244,315.5510204081633,161.75510204081633,162.18367346938777,153.10204081632654,130.59183673469389,216.12244897959184,136.42857142857142,175.22448979591837,182.6326530612245,165.30612244897958
2021-02-01,176.06122448979593,194.06122448979593,257.9591836734694,326.42857142857144,87.9795918367347,157.0612244897959,159.0204081632653,131.9387755102041,202.6122448979592,145.22448979591837,151.46938775510205,152.0408163265306,328.9591836734694,161.51020408163265,162.79591836734696,153.3469387755102,130.46938775510205,218.67346938775512,147.42857142857142,176.59183673469389,182.55102040816328,166.18367346938774
