,Date,Reported New Cases (7 Day Avg),Active Cases for Quarantine,Hospitalized,ICU,Fatal,Scenario
15,9/16/20,118.0588265,1874.058827,222.1596265,60.40352907,98.94357752,Pessimistic
16,9/17/20,117.3055669,1720.364393,220.0122651,60.21558609,100.8735846,Pessimistic
17,9/18/20,116.0332867,1615.39768,217.7199242,59.98962267,102.7969693,Pessimistic
18,9/19/20,114.4534642,1565.851144,215.3035825,59.72588248,104.7125173,Pessimistic
19,9/20/20,112.6965721,1573.547716,212.782378,59.42509053,106.6190304,Pessimistic
20,9/21/20,110.8430604,1618.390777,210.1735028,59.08835932,108.5153397,Pessimistic
21,9/22/20,108.9424862,1627.333263,207.4922508,58.71710338,110.400317,Pessimistic
22,9/23/20,107.0253254,1565.358588,204.7521434,58.31296432,112.2728835,Pessimistic
23,9/24/20,105.1102676,1503.468856,201.9650888,57.87774659,114.1320152,Pessimistic
24,9/25/20,103.2087206,1475.677576,199.1415506,57.41336363,115.9767481,Pessimistic
25,9/26/20,101.3275932,1463.00517,196.2907113,56.92179321,117.8061805,Pessimistic
26,9/27/20,99.47101367,1482.476183,193.4206243,56.40504113,119.6194743,Pessimistic
27,9/28/20,97.64139134,1514.117575,190.538352,55.86511187,121.4158559,Pessimistic
28,9/29/20,95.84007292,1507.957648,187.6500885,55.30398547,123.1946154,Pessimistic
15,9/16/20,118.0588265,1874.058827,220.6767313,60.342909,98.94084664,Expected
16,9/17/20,114.8865127,1717.945339,217.8785368,60.11537049,100.8683157,Expected
17,9/18/20,110.4683339,1607.413673,214.8203094,59.83571866,102.7876741,Expected
18,9/19/20,106.548054,1549.961727,211.534612,59.50278753,104.697233,Expected
19,9/20/20,102.9732479,1547.934975,208.0540159,59.11634427,106.5952814,Expected
20,9/21/20,99.64768832,1581.582663,204.4099052,58.67698415,108.4801144,Expected
21,9/22/20,96.51029989,1578.092963,200.6317425,58.18601169,110.3500577,Expected
22,9/23/20,93.52200406,1502.614967,196.7466635,57.64531907,112.2034886,Expected
23,9/24/20,90.6574953,1426.272463,192.7793012,57.05726908,114.0388528,Expected
24,9/25/20,87.90009971,1383.172562,188.751764,56.42458682,115.8546776,Expected
25,9/26/20,85.23856049,1354.411123,184.6837141,55.75026258,117.6495821,Expected
26,9/27/20,82.66502795,1357.076151,180.5925061,55.03746675,119.422284,Expected
27,9/28/20,80.17380243,1371.249953,176.4933592,54.28947681,121.1716046,Expected
28,9/29/20,77.760548,1347.010501,172.3995436,53.50961579,122.8964706,Expected
0,8/18/20,228.8571429,,175,35,40,Historical
1,8/19/20,237.2857143,,205,39,42,Historical
2,8/20/20,220.2857143,,187,33,45,Historical
3,8/21/20,219.8571429,,165,29,45,Historical
4,8/22/20,219.8571429,,227,44,46,Historical
5,8/23/20,223.8571429,,192,35,47,Historical
6,8/24/20,223.1428571,,192,35,47,Historical
7,8/25/20,234.7142857,3245,250,35,49,Historical
8,8/26/20,237,3320,270,50,49,Historical
9,8/27/20,247,3271,291,54,51,Historical
10,8/28/20,252,3303,286,56,55,Historical
11,8/29/20,255.7142857,3329,279,55,59,Historical
12,8/30/20,248.8571429,3309,272,57,62,Historical
13,8/31/20,243.7142857,3268,272,57,63,Historical
14,9/1/20,238.8571429,3315,297,57,70,Historical
15,9/2/20,247.7142857,3393,288,48,74,Historical
16,9/3/20,234.1428571,3368,276,47,75,Historical
17,9/4/20,235,3409,277,51,79,Historical
18,9/5/20,222.2857143,3346,265,50,81,Historical
19,9/6/20,217.1428571,3262,265,50,84,Historical
20,9/7/20,213.1428571,3198,265,50,85,Historical
21,9/8/20,196.7142857,3049,265,50,86,Historical
22,9/9/20,162.5714286,2872,257,47,88,Historical
23,9/10/20,156.5714286,2735,240,53,91,Historical
24,9/11/20,141.7142857,2637,240,52,94,Historical
25,9/12/20,128.8571429,2458,220,51,96,Historical
26,9/13/20,121.7142857,2372,220,51,97,Historical
27,9/14/20,118.1428571,2319,225,53,99,Historical
28,9/15/20,118.1428571,2204,225,53,99,Historical
29,9/16/20,118.4285714,1967,222,60,100,Historical
