,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-09-27,102.82861642536864,3795.0,150.04013849135745,48.06145506441687,130.73537936003981,Pessimistic
1,2020-09-28,105.06053603947589,3752.0,151.19195497475505,47.838753340404956,133.01278269367103,Pessimistic
2,2020-09-29,106.24477761559478,3335.1339300804393,152.50438435219277,47.672941597684535,135.28096206979023,Pessimistic
3,2020-09-30,107.61812406197896,3171.7520541424183,153.95390789568083,47.56288609294832,137.54259520849138,Pessimistic
4,2020-10-01,109.11109616745307,3059.8631503098713,155.5222396348672,47.506961995203085,139.80029349183084,Pessimistic
5,2020-10-02,110.68215841629535,3006.5453087261667,157.19502561048097,47.50323127116541,142.05658308833628,Pessimistic
6,2020-10-03,112.30645495606518,3013.8517636822316,158.96087417805228,47.54957115373481,144.31389329415362,Pessimistic
7,2020-10-04,113.96908452864022,3061.820848210872,160.81063444359683,47.6437661896678,146.5745500672798,Pessimistic
8,2020-10-05,115.6610850806112,3077.481933291483,162.73685954689014,47.783573529092415,148.84077326579623,Pessimistic
9,2020-10-06,117.37703608384754,3025.8589693753306,164.7334070624182,47.966768609402095,151.1146764975191,Pessimistic
10,2020-10-07,119.11362669879281,2977.9725960741234,166.79514083154424,48.19117651109308,153.39826878150996,Pessimistic
11,2020-10-08,120.86880061936472,2967.841396693488,168.91770771441776,48.45469287083003,155.69345743785672,Pessimistic
12,2020-10-09,122.64124526068508,2976.4826419541732,171.0973696577823,48.75529720764259,158.00205178100177,Pessimistic
13,2020-10-10,124.43008657018663,3020.91272852436,173.3308766300772,49.09106075942708,160.32576730861118,Pessimistic
14,2020-10-11,126.23470663438093,3081.147435158741,175.6153697975325,49.46015036885725,162.666230163662,Pessimistic
0,2020-09-27,102.82861642536864,3795.0,148.94208667173228,48.010903151474466,130.73204571019266,Expected
1,2020-09-28,103.37361044842328,3752.0,149.58424540126805,47.75406700940326,133.00628488006757,Expected
2,2020-09-29,102.2662898225592,3329.468516696351,150.27917183622196,47.541059554928424,135.26937629389232,Expected
3,2020-09-30,101.78477686320889,3160.25329355956,151.00543816509742,47.36890054493662,137.52333242196264,Expected
4,2020-10-01,101.67939434274558,3040.9326879023056,151.74841093256276,47.234379431898745,139.77001779750583,Expected
5,2020-10-02,101.79941941462016,2978.732107316926,152.4983208658982,47.1342438771279,142.01114286055537,Expected
6,2020-10-03,102.05384501983326,2975.7859523367592,153.24882815023003,47.06532212786778,144.24826509982626,Expected
7,2020-10-04,102.38770244404509,3012.173654780804,153.99597194055363,47.02459818999579,146.48279482161124,Expected
8,2020-10-05,102.767773198035,3014.941427978839,154.73741145755733,47.00925398170181,148.71600365713252,Expected
9,2020-10-06,103.17396646275074,2949.1153944415896,155.4718846659574,47.016688904156624,150.9490345008136,Expected
10,2020-10-07,103.59411531543856,2885.709509757028,156.19882709711314,47.04452438381427,153.18291199608305,Expected
11,2020-10-08,104.02083605616735,2858.7303458131955,156.91810714845718,47.09059877188998,155.41855299013886,Expected
12,2020-10-09,104.44963259793985,2849.1799784111354,157.6298451844403,47.15295638035443,157.65677659481378,Expected
13,2020-10-10,104.87775228166538,2874.0577306928008,158.33429229900244,47.22983326095052,159.8983136408567,Expected
14,2020-10-11,105.30349521784365,2913.3612259106444,159.03175109630843,47.31964148812282,162.14381541555744,Expected
0,2020-08-29,248.85714285714286,5966.0,279,55,59,Historical
1,2020-08-30,243.71428571428572,6121.0,272,57,62,Historical
2,2020-08-31,238.85714285714286,6047.0,272,57,63,Historical
3,2020-09-01,247.71428571428572,6084.0,297,57,70,Historical
4,2020-09-02,234.14285714285714,6250.0,288,48,74,Historical
5,2020-09-03,235.0,6309.0,276,47,75,Historical
6,2020-09-04,222.28571428571428,6379.0,277,51,79,Historical
7,2020-09-05,217.14285714285714,6369.0,265,50,81,Historical
8,2020-09-06,213.14285714285714,6381.0,265,50,84,Historical
9,2020-09-07,196.71428571428572,6346.0,265,50,85,Historical
10,2020-09-08,162.57142857142858,6294.0,265,50,86,Historical
11,2020-09-09,156.57142857142858,6192.0,257,47,88,Historical
12,2020-09-10,141.71428571428572,6006.0,240,53,91,Historical
13,2020-09-11,128.85714285714286,5940.0,240,52,94,Historical
14,2020-09-12,121.71428571428571,5787.0,220,51,96,Historical
15,2020-09-13,118.14285714285714,5681.0,220,51,97,Historical
16,2020-09-14,118.14285714285714,5587.0,225,53,99,Historical
17,2020-09-15,118.42857142857143,5519.0,225,53,99,Historical
18,2020-09-16,117.14285714285714,5360.0,222,60,100,Historical
19,2020-09-17,109.57142857142857,5284.0,210,56,103,Historical
20,2020-09-18,106.57142857142857,5168.0,197,51,107,Historical
21,2020-09-19,101.28571428571429,4994.0,200,52,120,Historical
22,2020-09-20,97.85714285714286,4823.0,185,51,120,Historical
23,2020-09-21,97.42857142857143,4710.0,185,51,120,Historical
24,2020-09-22,106.85714285714286,4558.0,185,51,120,Historical
25,2020-09-23,96.85714285714286,4449.0,181,61,120,Historical
26,2020-09-24,96.57142857142857,4233.0,162,54,122,Historical
27,2020-09-25,99.0,4080.0,150,55,124,Historical
28,2020-09-26,102.0,3897.0,150,55,127,Historical
29,2020-09-27,106.85714285714286,3795.0,150,48,131,Historical
