,Date,Metric,Values
14,2020-09-15,Reported_New_Cases,117.9503981022176
15,2020-09-16,Reported_New_Cases,118.05882650190415
16,2020-09-17,Reported_New_Cases,117.30556686581895
17,2020-09-18,Reported_New_Cases,116.03328671323334
18,2020-09-19,Reported_New_Cases,114.45346417408791
19,2020-09-20,Reported_New_Cases,112.69657205233898
20,2020-09-21,Reported_New_Cases,110.84306040721913
21,2020-09-22,Reported_New_Cases,108.94248617882795
22,2020-09-23,Reported_New_Cases,107.02532538940386
23,2020-09-24,Reported_New_Cases,105.1102675560087
24,2020-09-25,Reported_New_Cases,103.20872059717885
25,2020-09-26,Reported_New_Cases,101.32759323266464
26,2020-09-27,Reported_New_Cases,99.47101366646166
27,2020-09-28,Reported_New_Cases,97.64139133559229
28,2020-09-29,Reported_New_Cases,95.84007291786929
14,2020-09-15,Reported_New_Cases,117.9503981022176
15,2020-09-16,Reported_New_Cases,118.05882650190415
16,2020-09-17,Reported_New_Cases,114.8865086669066
17,2020-09-18,Reported_New_Cases,110.46833092819179
18,2020-09-19,Reported_New_Cases,106.54805163317178
19,2020-09-20,Reported_New_Cases,102.97324598185241
20,2020-09-21,Reported_New_Cases,99.64768666642613
21,2020-09-22,Reported_New_Cases,96.51029841791933
22,2020-09-23,Reported_New_Cases,93.52200272731307
23,2020-09-24,Reported_New_Cases,90.65749406353598
24,2020-09-25,Reported_New_Cases,87.90009853933998
25,2020-09-26,Reported_New_Cases,85.2385593813874
26,2020-09-27,Reported_New_Cases,82.66502689167646
27,2020-09-28,Reported_New_Cases,80.17380140547493
28,2020-09-29,Reported_New_Cases,77.76054701372732
14,2020-09-15,Hospitalized,224.21878435053065
15,2020-09-16,Hospitalized,222.10959317691433
16,2020-09-17,Hospitalized,219.82504623970357
17,2020-09-18,Hospitalized,217.39055583766057
18,2020-09-19,Hospitalized,214.82962017636333
19,2020-09-20,Hospitalized,212.16348280261133
20,2020-09-21,Hospitalized,209.41107383671155
21,2020-09-22,Hospitalized,206.58910299514451
22,2020-09-23,Hospitalized,203.71222746471486
23,2020-09-24,Hospitalized,200.7932499474915
24,2020-09-25,Hospitalized,197.84332168327393
25,2020-09-26,Hospitalized,194.87213692486702
26,2020-09-27,Hospitalized,191.88811223832704
27,2020-09-28,Hospitalized,188.8985479983321
28,2020-09-29,Hospitalized,185.9097716968926
14,2020-09-15,Hospitalized,223.2311150578685
15,2020-09-16,Hospitalized,220.57702693951356
16,2020-09-17,Hospitalized,217.62050065985775
17,2020-09-18,Hospitalized,214.39571117946556
18,2020-09-19,Hospitalized,210.93832616680842
19,2020-09-20,Hospitalized,207.28366946334143
20,2020-09-21,Hospitalized,203.4655266699955
21,2020-09-22,Hospitalized,199.51542222995553
22,2020-09-23,Hospitalized,195.46223335404395
23,2020-09-24,Hospitalized,191.3320377411777
24,2020-09-25,Hospitalized,187.1481181636339
25,2020-09-26,Hospitalized,182.93106772120217
26,2020-09-27,Hospitalized,178.69895556127884
27,2020-09-28,Hospitalized,174.46752492360704
28,2020-09-29,Hospitalized,170.25040429530324
14,2020-09-15,ICU,51.79648088154569
15,2020-09-16,ICU,51.41811591327058
16,2020-09-17,ICU,51.03088437429368
17,2020-09-18,ICU,50.63232034024723
18,2020-09-19,ICU,50.22069183247196
19,2020-09-20,ICU,49.794887782712856
20,2020-09-21,ICU,49.35431201220332
21,2020-09-22,ICU,48.89878784261773
22,2020-09-23,ICU,48.4284745555849
23,2020-09-24,ICU,47.943795594431364
24,2020-09-25,ICU,47.445377719559964
25,2020-09-26,ICU,46.93400002136082
26,2020-09-27,ICU,46.41055160078768
27,2020-09-28,ICU,45.87599675102433
28,2020-09-29,ICU,45.33134655662361
14,2020-09-15,ICU,51.76858118342366
15,2020-09-16,ICU,51.36730318097757
16,2020-09-17,ICU,50.94689915621128
17,2020-09-18,ICU,50.5033716202935
18,2020-09-19,ICU,50.033819633884264
19,2020-09-20,ICU,49.53634460306219
20,2020-09-21,ICU,49.00993456716288
21,2020-09-22,ICU,48.45434028732608
22,2020-09-23,ICU,47.86995207693417
23,2020-09-24,ICU,47.2576830549319
24,2020-09-25,ICU,46.6188621412663
25,2020-09-26,ICU,45.95513845267969
26,2020-09-27,ICU,45.26839762650311
27,2020-09-28,ICU,44.560689861075865
28,2020-09-29,ICU,43.83416900490223
14,2020-09-15,Fatal,100.62965594390673
15,2020-09-16,Fatal,102.69397246418514
16,2020-09-17,Fatal,104.74298661800785
17,2020-09-18,Fatal,106.77629178667202
18,2020-09-19,Fatal,108.79339777532506
19,2020-09-20,Fatal,110.79375789645653
20,2020-09-21,Fatal,112.77679165459256
21,2020-09-22,Fatal,114.74190339556357
22,2020-09-23,Fatal,116.68849737582664
23,2020-09-24,Fatal,118.61598972679712
24,2020-09-25,Fatal,120.52381776963247
25,2020-09-26,Fatal,122.41144709728648
26,2020-09-27,Fatal,124.27837679441045
27,2020-09-28,Fatal,126.12414311827347
28,2020-09-29,Fatal,127.94832191873748
14,2020-09-15,Fatal,100.62833701712547
15,2020-09-16,Fatal,102.69111058751501
16,2020-09-17,Fatal,104.73746574287483
17,2020-09-18,Fatal,106.76655371621965
18,2020-09-19,Fatal,108.77738803209546
19,2020-09-20,Fatal,110.76888658391081
20,2020-09-21,Fatal,112.73990945998378
21,2020-09-22,Fatal,114.68929194077216
22,2020-09-23,Fatal,116.61587253072521
23,2020-09-24,Fatal,118.51851617729514
24,2020-09-25,Fatal,120.3961330069995
25,2020-09-26,Fatal,122.24769300594242
26,2020-09-27,Fatal,124.07223711440227
27,2020-09-28,Fatal,125.86888521031304
28,2020-09-29,Fatal,127.6368414380925
14,2020-09-15,Scenario,Pessimistic
15,2020-09-16,Scenario,Pessimistic
16,2020-09-17,Scenario,Pessimistic
17,2020-09-18,Scenario,Pessimistic
18,2020-09-19,Scenario,Pessimistic
19,2020-09-20,Scenario,Pessimistic
20,2020-09-21,Scenario,Pessimistic
21,2020-09-22,Scenario,Pessimistic
22,2020-09-23,Scenario,Pessimistic
23,2020-09-24,Scenario,Pessimistic
24,2020-09-25,Scenario,Pessimistic
25,2020-09-26,Scenario,Pessimistic
26,2020-09-27,Scenario,Pessimistic
27,2020-09-28,Scenario,Pessimistic
28,2020-09-29,Scenario,Pessimistic
14,2020-09-15,Scenario,Expected
15,2020-09-16,Scenario,Expected
16,2020-09-17,Scenario,Expected
17,2020-09-18,Scenario,Expected
18,2020-09-19,Scenario,Expected
19,2020-09-20,Scenario,Expected
20,2020-09-21,Scenario,Expected
21,2020-09-22,Scenario,Expected
22,2020-09-23,Scenario,Expected
23,2020-09-24,Scenario,Expected
24,2020-09-25,Scenario,Expected
25,2020-09-26,Scenario,Expected
26,2020-09-27,Scenario,Expected
27,2020-09-28,Scenario,Expected
28,2020-09-29,Scenario,Expected
