County,Date,New Cases,New Positive Tests,Total Test Encounters
Hawaii,2/15/2020,0,0,0
Hawaii,2/28/2020,0,0,0
Hawaii,3/2/2020,0,0,0
Hawaii,3/3/2020,0,0,1
Hawaii,3/6/2020,0,0,0
Hawaii,3/7/2020,0,0,0
Hawaii,3/8/2020,0,0,0
Hawaii,3/9/2020,0,0,0
Hawaii,3/10/2020,0,0,0
Hawaii,3/11/2020,0,0,0
Hawaii,3/12/2020,0,0,3
Hawaii,3/13/2020,0,0,3
Hawaii,3/14/2020,0,0,6
Hawaii,3/15/2020,0,0,19
Hawaii,3/16/2020,0,0,29
Hawaii,3/17/2020,1,1,32
Hawaii,3/18/2020,0,0,21
Hawaii,3/19/2020,0,0,61
Hawaii,3/20/2020,2,2,84
Hawaii,3/21/2020,0,0,74
Hawaii,3/22/2020,1,2,140
Hawaii,3/23/2020,1,0,96
Hawaii,3/24/2020,0,0,22
Hawaii,3/25/2020,1,0,27
Hawaii,3/26/2020,2,2,124
Hawaii,3/27/2020,5,5,291
Hawaii,3/28/2020,4,5,243
Hawaii,3/29/2020,1,1,53
Hawaii,3/30/2020,0,0,31
Hawaii,3/31/2020,3,2,236
Hawaii,4/1/2020,0,0,137
Hawaii,4/2/2020,2,2,104
Hawaii,4/3/2020,2,2,161
Hawaii,4/4/2020,0,0,41
Hawaii,4/5/2020,1,0,139
Hawaii,4/6/2020,1,1,59
Hawaii,4/7/2020,3,3,51
Hawaii,4/8/2020,0,0,25
Hawaii,4/9/2020,1,1,153
Hawaii,4/10/2020,3,3,197
Hawaii,4/11/2020,5,3,115
Hawaii,4/12/2020,1,2,67
Hawaii,4/13/2020,1,2,17
Hawaii,4/14/2020,0,0,34
Hawaii,4/15/2020,0,0,32
Hawaii,4/16/2020,3,3,68
Hawaii,4/17/2020,16,16,304
Hawaii,4/18/2020,2,2,92
Hawaii,4/19/2020,2,2,90
Hawaii,4/20/2020,0,0,47
Hawaii,4/21/2020,3,4,126
Hawaii,4/22/2020,1,0,71
Hawaii,4/23/2020,1,2,211
Hawaii,4/24/2020,0,1,146
Hawaii,4/25/2020,1,1,69
Hawaii,4/26/2020,0,0,16
Hawaii,4/27/2020,0,0,24
Hawaii,4/28/2020,0,0,183
Hawaii,4/29/2020,3,3,77
Hawaii,4/30/2020,0,0,239
Hawaii,5/1/2020,0,0,127
Hawaii,5/2/2020,1,1,122
Hawaii,5/3/2020,1,1,96
Hawaii,5/4/2020,0,0,80
Hawaii,5/5/2020,0,0,103
Hawaii,5/6/2020,0,0,58
Hawaii,5/7/2020,0,0,198
Hawaii,5/8/2020,0,0,103
Hawaii,5/9/2020,0,0,179
Hawaii,5/10/2020,0,0,13
Hawaii,5/11/2020,0,0,79
Hawaii,5/12/2020,0,0,99
Hawaii,5/13/2020,0,1,161
Hawaii,5/14/2020,0,0,173
Hawaii,5/15/2020,1,0,164
Hawaii,5/16/2020,1,2,152
Hawaii,5/17/2020,0,0,51
Hawaii,5/18/2020,1,1,105
Hawaii,5/19/2020,0,0,197
Hawaii,5/20/2020,3,3,160
Hawaii,5/21/2020,0,0,177
Hawaii,5/22/2020,0,0,194
Hawaii,5/23/2020,0,0,185
Hawaii,5/24/2020,0,0,40
Hawaii,5/25/2020,0,0,77
Hawaii,5/26/2020,0,0,43
Hawaii,5/27/2020,0,0,111
Hawaii,5/28/2020,0,0,145
Hawaii,5/29/2020,0,0,135
Hawaii,5/30/2020,0,0,143
Hawaii,5/31/2020,0,0,30
Hawaii,6/1/2020,0,0,128
Hawaii,6/2/2020,0,0,590
Hawaii,6/3/2020,0,0,898
Hawaii,6/4/2020,0,0,380
Hawaii,6/5/2020,0,0,275
Hawaii,6/6/2020,0,0,215
Hawaii,6/7/2020,0,0,59
Hawaii,6/8/2020,0,0,27
Hawaii,6/9/2020,0,0,261
Hawaii,6/10/2020,0,0,130
Hawaii,6/11/2020,0,0,191
Hawaii,6/12/2020,0,0,137
Hawaii,6/13/2020,1,1,239
Hawaii,6/14/2020,0,0,47
Hawaii,6/15/2020,0,0,75
Hawaii,6/16/2020,1,1,409
Hawaii,6/17/2020,0,0,194
Hawaii,6/18/2020,0,0,107
Hawaii,6/19/2020,0,0,267
Hawaii,6/20/2020,2,2,131
Hawaii,6/21/2020,0,0,79
Hawaii,6/22/2020,0,0,62
Hawaii,6/23/2020,1,1,261
Hawaii,6/24/2020,0,1,102
Hawaii,6/25/2020,0,0,150
Hawaii,6/26/2020,0,0,150
Hawaii,6/27/2020,1,3,198
Hawaii,6/28/2020,0,0,69
Hawaii,6/29/2020,0,1,59
Hawaii,6/30/2020,0,0,253
Hawaii,7/1/2020,3,3,187
Hawaii,7/2/2020,1,1,196
Hawaii,7/3/2020,2,2,265
Hawaii,7/4/2020,0,0,94
Hawaii,7/5/2020,1,1,47
Hawaii,7/6/2020,1,1,70
Hawaii,7/7/2020,1,1,314
Hawaii,7/8/2020,1,1,196
Hawaii,7/9/2020,1,1,265
Hawaii,7/10/2020,2,2,259
Hawaii,7/11/2020,1,1,192
Hawaii,7/12/2020,1,0,93
Hawaii,7/13/2020,3,3,61
Hawaii,7/14/2020,2,2,410
Hawaii,7/15/2020,0,1,297
Hawaii,7/16/2020,2,2,367
Hawaii,7/17/2020,1,1,694
Hawaii,7/18/2020,2,1,384
Hawaii,7/19/2020,1,0,140
Hawaii,7/20/2020,0,1,139
Hawaii,7/21/2020,0,1,698
Hawaii,7/22/2020,2,1,255
Hawaii,7/23/2020,0,0,276
Hawaii,7/24/2020,0,0,257
Hawaii,7/25/2020,0,0,747
Hawaii,7/26/2020,0,0,73
Hawaii,7/27/2020,0,0,73
Hawaii,7/28/2020,0,0,347
Hawaii,7/29/2020,0,0,188
Hawaii,7/30/2020,0,0,154
Hawaii,7/31/2020,0,0,159
Hawaii,8/1/2020,0,1,280
Hawaii,8/2/2020,2,0,112
Hawaii,8/3/2020,4,8,169
Hawaii,8/4/2020,0,0,291
Hawaii,8/5/2020,1,2,297
Hawaii,8/6/2020,0,0,335
Hawaii,8/7/2020,4,4,328
Hawaii,8/8/2020,3,3,393
Hawaii,8/9/2020,0,0,148
Hawaii,8/10/2020,1,1,142
Hawaii,8/11/2020,2,2,388
Hawaii,8/12/2020,4,3,412
Hawaii,8/13/2020,4,4,557
Hawaii,8/14/2020,3,4,387
Hawaii,8/15/2020,4,5,365
Hawaii,8/16/2020,2,2,143
Hawaii,8/17/2020,3,4,123
Hawaii,8/18/2020,7,10,364
Hawaii,8/19/2020,5,8,201
Hawaii,8/20/2020,14,14,361
Hawaii,8/21/2020,15,13,403
Hawaii,8/22/2020,8,8,389
Hawaii,8/23/2020,9,7,459
Hawaii,8/24/2020,11,12,536
Hawaii,8/25/2020,23,23,582
Hawaii,8/26/2020,10,11,253
Hawaii,8/27/2020,26,24,684
Hawaii,8/28/2020,39,43,851
Hawaii,8/29/2020,21,22,522
Hawaii,8/30/2020,25,23,309
Hawaii,8/31/2020,18,19,986
Hawaii,9/1/2020,34,34,717
Hawaii,9/2/2020,17,16,748
Hawaii,9/3/2020,34,36,801
Hawaii,9/4/2020,23,21,522
Hawaii,9/5/2020,13,14,804
Hawaii,9/6/2020,11,13,278
Hawaii,9/7/2020,6,5,249
Hawaii,9/8/2020,13,14,631
Hawaii,9/9/2020,7,10,945
Hawaii,9/10/2020,21,20,747
Hawaii,9/11/2020,8,12,526
Hawaii,9/12/2020,19,13,701
Hawaii,9/13/2020,7,7,467
Hawaii,9/14/2020,5,9,521
Hawaii,9/15/2020,4,11,930
Hawaii,9/16/2020,19,10,688
Hawaii,9/17/2020,10,11,735
Hawaii,9/18/2020,7,6,650
Hawaii,9/19/2020,5,7,695
Hawaii,9/20/2020,7,7,372
Hawaii,9/21/2020,8,5,601
Hawaii,9/22/2020,13,14,1054
Hawaii,9/23/2020,6,6,510
Hawaii,9/24/2020,14,15,613
Hawaii,9/25/2020,3,2,519
Hawaii,9/26/2020,7,7,727
Hawaii,9/27/2020,0,0,301
Hawaii,9/28/2020,3,3,272
Hawaii,9/29/2020,25,26,964
Hawaii,9/30/2020,6,7,391
Hawaii,10/1/2020,16,18,752
